"Polling.Station.No."	"I"	"II"	"III"	"IV"	"V"	"VI"	"VII"	"VIII"	"IX"	"X"	"XI"	"XII"	"XIII"	"XIV"	"Total.Votes"
"1"	""	"DR. IRSHAD AHMAD KHAN"	"KUMAR URAON"	"RAJ KISHORE KESHRI"	"RAM CHARITRA YADAV"	"SUNIL KUMAR SINGH"	"BINDU PRAKASH JHA"	"SHAH JIYAUL HAQUE"	"AMJAD ALI"	"ISHRAR ALAM"	"JAGAT MANGAL KURI"	"JYOTI KUMAR"	"NAZRUL ISLAM"	"SHANKAR JHA"	"SURESH RISHI"	""
"2"	""	"Lok Jan Shakti Party"	"Bahujan Samaj Party"	"Bharatiya Janata Party"	"Rashtriya Janata Dal"	"Communist Party Of India (Marxist)"	"Shivsena"	"Samajwadi Party"	"Independent"	"Independ ent"	"Independent"	"Independent"	"Independen t"	"Independent"	"Independent"	""
"3"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"4"	"1"	"365"	"9"	"17"	"20"	"1"	"1"	"2"	"1"	"3"	"3"	"11"	"8"	"22"	"26"	"489"
"5"	"1A"	"280"	"8"	"8"	"41"	"3"	"3"	"5"	"2"	"5"	"1"	"3"	"3"	"4"	"19"	"385"
"6"	"2"	"145"	"2"	"8"	"38"	"9"	"3"	"9"	"4"	"4"	"2"	"6"	"2"	"6"	"8"	"246"
"7"	"3"	"35"	"0"	"101"	"80"	"17"	"2"	"6"	"3"	"6"	"4"	"6"	"1"	"23"	"16"	"300"
"8"	"4"	"111"	"10"	"85"	"93"	"6"	"0"	"5"	"2"	"2"	"5"	"9"	"4"	"7"	"24"	"363"
"9"	"5"	"24"	"1"	"133"	"77"	"35"	"20"	"7"	"3"	"3"	"3"	"3"	"3"	"63"	"17"	"392"
"10"	"5A"	"54"	"4"	"141"	"28"	"156"	"17"	"1"	"2"	"3"	"10"	"4"	"6"	"39"	"21"	"486"
"11"	"6"	"214"	"9"	"139"	"165"	"25"	"7"	"4"	"3"	"3"	"2"	"12"	"9"	"78"	"15"	"685"
"12"	"7"	"82"	"5"	"395"	"169"	"13"	"4"	"6"	"2"	"3"	"4"	"7"	"9"	"29"	"13"	"741"
"13"	"8"	"541"	"13"	"3"	"7"	"1"	"0"	"4"	"0"	"1"	"4"	"3"	"2"	"7"	"33"	"619"
"14"	"9"	"57"	"6"	"312"	"54"	"4"	"1"	"2"	"4"	"2"	"3"	"8"	"7"	"54"	"25"	"539"
"15"	"10"	"239"	"8"	"66"	"36"	"41"	"6"	"19"	"3"	"6"	"7"	"15"	"5"	"62"	"29"	"542"
"16"	"11"	"71"	"1"	"60"	"5"	"0"	"0"	"4"	"2"	"0"	"0"	"4"	"3"	"7"	"6"	"163"
"17"	"12"	"85"	"4"	"183"	"334"	"7"	"3"	"10"	"1"	"4"	"2"	"12"	"7"	"62"	"17"	"731"
"18"	"13"	"111"	"4"	"352"	"44"	"7"	"2"	"6"	"2"	"4"	"12"	"4"	"6"	"27"	"25"	"606"
"19"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"14A"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"21"	"15"	"108"	"40"	"80"	"64"	"19"	"9"	"3"	"2"	"5"	"3"	"4"	"3"	"87"	"9"	"436"
"22"	"15A"	"98"	"12"	"198"	"87"	"6"	"3"	"2"	"3"	"1"	"5"	"4"	"6"	"11"	"13"	"449"
"23"	"16"	"363"	"9"	"17"	"94"	"12"	"2"	"2"	"1"	"4"	"4"	"12"	"4"	"11"	"35"	"570"
"24"	"Polling Station No."	"I"	"II"	"III"	"IV"	"V"	"VI"	"VII"	"VIII"	"IX"	"X"	"XI"	"XII"	"XIII"	"XIV"	"Total Votes"
"25"	""	"DR. IRSHAD AHMAD KHAN"	"KUMAR URAON"	"RAJ KISHORE KESHRI"	"RAM CHARITRA YADAV"	"SUNIL KUMAR SINGH"	"BINDU PRAKASH JHA"	"SHAH JIYAUL HAQUE"	"AMJAD ALI"	"ISHRAR ALAM"	"JAGAT MANGAL KURI"	"JYOTI KUMAR"	"NAZRUL ISLAM"	"SHANKAR JHA"	"SURESH RISHI"	""
"26"	""	"Lok Jan Shakti Party"	"Bahujan Samaj Party"	"Bharatiya Janata Party"	"Rashtriya Janata Dal"	"Communist Party Of India (Marxist)"	"Shivsena"	"Samajwadi Party"	"Independent"	"Independ ent"	"Independent"	"Independent"	"Independen t"	"Independent"	"Independent"	""
"27"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"28"	"17"	"259"	"11"	"70"	"242"	"7"	"4"	"8"	"0"	"7"	"1"	"9"	"7"	"2"	"33"	"660"
"29"	"18"	"435"	"11"	"96"	"51"	"4"	"2"	"1"	"3"	"2"	"7"	"8"	"11"	"19"	"28"	"678"
"30"	"19"	"36"	"11"	"284"	"44"	"3"	"2"	"3"	"1"	"3"	"2"	"0"	"3"	"48"	"8"	"448"
"31"	"20"	"25"	"4"	"295"	"163"	"13"	"6"	"3"	"5"	"5"	"3"	"6"	"9"	"77"	"17"	"631"
"32"	"21"	"292"	"14"	"139"	"19"	"8"	"5"	"1"	"8"	"9"	"5"	"7"	"6"	"13"	"20"	"546"
"33"	"22"	"22"	"12"	"313"	"189"	"54"	"7"	"6"	"4"	"5"	"12"	"5"	"9"	"37"	"13"	"688"
"34"	"23"	"16"	"8"	"122"	"10"	"109"	"9"	"5"	"0"	"5"	"7"	"2"	"6"	"163"	"26"	"488"
"35"	"24"	"278"	"8"	"18"	"69"	"90"	"7"	"41"	"2"	"4"	"2"	"12"	"7"	"13"	"23"	"574"
"36"	"25"	"42"	"7"	"93"	"15"	"115"	"5"	"2"	"1"	"3"	"5"	"6"	"3"	"37"	"16"	"350"
"37"	"26"	"348"	"5"	"13"	"7"	"2"	"0"	"2"	"0"	"0"	"1"	"4"	"1"	"7"	"22"	"412"
"38"	"26A"	"350"	"22"	"31"	"9"	"4"	"1"	"5"	"2"	"1"	"0"	"0"	"3"	"5"	"7"	"440"
"39"	"27"	"85"	"9"	"140"	"352"	"7"	"2"	"1"	"0"	"3"	"3"	"6"	"4"	"2"	"2"	"616"
"40"	"28"	"133"	"2"	"71"	"15"	"31"	"1"	"1"	"2"	"3"	"1"	"8"	"5"	"168"	"27"	"468"
"41"	"28A"	"73"	"8"	"215"	"10"	"14"	"3"	"1"	"0"	"2"	"4"	"1"	"3"	"62"	"9"	"405"
"42"	"29"	"285"	"8"	"93"	"72"	"59"	"9"	"10"	"1"	"1"	"3"	"2"	"6"	"23"	"7"	"579"
"43"	"30"	"97"	"4"	"50"	"269"	"11"	"2"	"7"	"0"	"4"	"5"	"9"	"5"	"18"	"20"	"501"
"44"	"30A"	"12"	"3"	"150"	"127"	"19"	"4"	"4"	"3"	"4"	"4"	"6"	"17"	"58"	"22"	"433"
"45"	"31"	"26"	"10"	"209"	"211"	"5"	"3"	"10"	"2"	"7"	"6"	"7"	"5"	"17"	"14"	"532"
"46"	"32"	"11"	"12"	"208"	"136"	"38"	"6"	"4"	"3"	"2"	"3"	"4"	"7"	"93"	"9"	"536"
"47"	"32A"	"25"	"6"	"167"	"87"	"64"	"3"	"4"	"4"	"3"	"4"	"2"	"3"	"67"	"7"	"446"
"48"	"Polling Station No."	"I"	"II"	"III"	"IV"	"V"	"VI"	"VII"	"VIII"	"IX"	"X"	"XI"	"XII"	"XIII"	"XIV"	"Total Votes"
"49"	""	"DR. IRSHAD AHMAD KHAN"	"KUMAR URAON"	"RAJ KISHORE KESHRI"	"RAM CHARITRA YADAV"	"SUNIL KUMAR SINGH"	"BINDU PRAKASH JHA"	"SHAH JIYAUL HAQUE"	"AMJAD ALI"	"ISHRAR ALAM"	"JAGAT MANGAL KURI"	"JYOTI KUMAR"	"NAZRUL ISLAM"	"SHANKAR JHA"	"SURESH RISHI"	""
"50"	""	"Lok Jan Shakti Party"	"Bahujan Samaj Party"	"Bharatiya Janata Party"	"Rashtriya Janata Dal"	"Communist Party Of India (Marxist)"	"Shivsena"	"Samajwadi Party"	"Independent"	"Independ ent"	"Independent"	"Independent"	"Independen t"	"Independent"	"Independent"	""
"51"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"52"	"33"	"14"	"5"	"226"	"281"	"9"	"4"	"2"	"1"	"1"	"3"	"6"	"6"	"8"	"5"	"571"
"53"	"34"	"11"	"2"	"280"	"147"	"2"	"0"	"2"	"1"	"1"	"1"	"2"	"1"	"29"	"6"	"485"
"54"	"35"	"191"	"12"	"332"	"79"	"2"	"3"	"1"	"1"	"7"	"6"	"8"	"15"	"73"	"21"	"751"
"55"	"36"	"27"	"1"	"153"	"63"	"2"	"1"	"0"	"0"	"0"	"0"	"2"	"1"	"1"	"3"	"254"
"56"	"36A"	"20"	"1"	"241"	"61"	"1"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"11"	"0"	"340"
"57"	"37"	"9"	"1"	"493"	"43"	"1"	"0"	"1"	"0"	"2"	"2"	"0"	"5"	"35"	"0"	"592"
"58"	"38"	"2"	"2"	"205"	"13"	"2"	"0"	"2"	"0"	"0"	"1"	"1"	"2"	"38"	"0"	"268"
"59"	"39"	"80"	"1"	"165"	"42"	"2"	"2"	"3"	"0"	"1"	"2"	"2"	"2"	"19"	"7"	"328"
"60"	"39A"	"51"	"0"	"326"	"40"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"9"	"1"	"430"
"61"	"40"	"26"	"2"	"311"	"9"	"0"	"1"	"4"	"0"	"0"	"1"	"0"	"2"	"17"	"4"	"377"
"62"	"41"	"38"	"3"	"332"	"44"	"6"	"0"	"4"	"1"	"3"	"1"	"1"	"3"	"13"	"3"	"452"
