"Round.No."	"Sl..No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"Total.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"1"	""	""	"Anjar Ahmad Kha,(L.J.P)"	"Dinesh Mahto (C.P.I)M.L"	"Nitish Mishra (J.D.U)"	"Ram Awatar Chaudhary (R.J.D)"	"Ram Bilas Dhangar (B.S.P)"	"Vivekanandan Mishra (S.P.)"	"Nathuni Yadav (IND.)"	""	""	""	""
"2"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"3"	"Round - 1"	"1"	"28"	"7"	"147"	"102"	"9"	"11"	"17"	"321"	""	"321"	"0"
"4"	""	"1&d"	"29"	"8"	"52"	"75"	"8"	"2"	"7"	"181"	""	"181"	"0"
"5"	""	"2"	"28"	"2"	"245"	"32"	"18"	"12"	"25"	"362"	""	"362"	"0"
"6"	""	"3"	"71"	"14"	"225"	"117"	"20"	"21"	"35"	"503"	""	"503"	"0"
"7"	""	"4"	"46"	"10"	"223"	"220"	"27"	"7"	"19"	"552"	""	"552"	"0"
"8"	""	"5"	"27"	"15"	"180"	"220"	"20"	"17"	"20"	"499"	""	"499"	"0"
"9"	""	"6"	"29"	"5"	"135"	"164"	"12"	"18"	"33"	"396"	""	"396"	"0"
"10"	""	"7"	"13"	"7"	"257"	"83"	"15"	"9"	"17"	"401"	""	"401"	"0"
"11"	""	"8"	"150"	"11"	"102"	"184"	"14"	"8"	"14"	"483"	""	"483"	"0"
"12"	""	"9"	"14"	"6"	"207"	"122"	"23"	"8"	"11"	"391"	""	"391"	"0"
"13"	""	"10"	"14"	"6"	"241"	"69"	"12"	"4"	"3"	"349"	""	"349"	"0"
"14"	""	"10&d"	"19"	"7"	"250"	"50"	"14"	"4"	"11"	"355"	""	"355"	"0"
"15"	""	"11"	"2"	"3"	"29"	"115"	"7"	"2"	"7"	"165"	""	"165"	"0"
"16"	""	"12"	"127"	"12"	"130"	"132"	"25"	"14"	"17"	"457"	""	"457"	"0"
"17"	""	"Total"	"597"	"113"	"2423"	"1685"	"224"	"137"	"236"	"5415"	""	"5415"	"0"
"18"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
