"ROUND...1...CUMULATIVE.DATA"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"
"1"	"ANNEXURE - XL"	""	""	""	""	""	""
"2"	"[Para 22 ® Chapter - XIV-A]"	""	""	""	""	""	""
"3"	"FORM - 20"	""	""	""	""	""	""
"4"	"FINAL RESULT SHEET"	""	""	""	""	""	""
"5"	"[See Rule 56 A (7)]"	""	""	""	""	""	""
"6"	"Election to the Legislative Assembly from the 136 - Amour Assembly Constituency"	""	""	""	""	""	""
"7"	"No. of valid votes cast in favour of"	""	""	""	""	""	""
"8"	"Candidate Details"	""	""	"Votes Polled in AC"	""	""	""
"9"	"Sl.
No"	"Name"	"Party Abbre."	"Tot Gen
Votes."	"Postal
Votes"	"Total Votes"	""
"10"	"1"	"ABDUL JALIL MASTAN"	"Indian National Congress"	"1886"	"0"	"1886"	""
"11"	"2"	"AFAQUE ALAM"	"Bahujan Samaj Party"	"90"	"0"	"90"	""
"12"	"3"	"NAUSHAD ALAM"	"Bharatiya Janata Party"	"688"	"0"	"688"	""
"13"	"4"	"SIKANDRAK ALAM ALIAS DARA"	"Nationalist Congress Party"	"112"	"0"	"112"	""
"14"	"5"	"AKHILESH KR. DAS"	"Samajwadi Party"	"4217"	"0"	"4217"	""
"15"	"6"	"MAZHARUL BARI"	"Apna Dal"	"110"	"0"	"110"	""
"16"	"7"	"MD. RAHWAR ALAM"	"Indian Justice Party"	"69"	"0"	"69"	""
"17"	"8"	"ABDUL RAJAK"	"Independent"	"51"	"0"	"51"	""
"18"	"9"	"JABED AKBAL"	"Independent"	"79"	"0"	"79"	""
"19"	"10"	"NILMANI SINGH"	"Independent"	"132"	"0"	"132"	""
"20"	"11"	"SABA ZAFAR"	"Independent"	"1389"	"0"	"1389"	""
"21"	"12"	"SAUKAT"	"Independent"	"167"	"0"	"167"	""
"22"	"Place -"	""	""	""	""	""	""
"23"	"Date  -"	""	""	""	""	""	""
"24"	"Returning Officer"	""	""	""	""	""	""
"25"	"136 - Amour Assembly Constituency"	""	""	""	""	""	""
"26"	"ROUND - II - CUMULATIVE DATA"	""	""	""	""	""	""
"27"	"ANNEXURE - XL"	""	""	""	""	""	""
"28"	"[Para 22 ® Chapter - XIV-A]"	""	""	""	""	""	""
"29"	"FORM - 20"	""	""	""	""	""	""
"30"	"FINAL RESULT SHEET"	""	""	""	""	""	""
"31"	"[See Rule 56 A (7)]"	""	""	""	""	""	""
"32"	"Election to the Legislative Assembly from the 136 - Amour Assembly Constituency"	""	""	""	""	""	""
"33"	"No. of valid votes cast in favour of"	""	""	""	""	""	""
"34"	"Candidate Details"	""	""	"Votes Polled in AC"	""	""	""
"35"	"Sl.
No"	"Name"	"Party Abbre."	"Tot Gen
Votes."	"Postal
Votes"	"Total Votes"	""
"36"	"1"	"ABDUL JALIL MASTAN"	"Indian National Congress"	"2636"	"0"	"2636"	""
"37"	"2"	"AFAQUE ALAM"	"Bahujan Samaj Party"	"214"	"0"	"214"	""
"38"	"3"	"NAUSHAD ALAM"	"Bharatiya Janata Party"	"1008"	"0"	"1008"	""
"39"	"4"	"SIKANDRAK ALAM ALIAS DARA"	"Nationalist Congress Party"	"179"	"0"	"179"	""
"40"	"5"	"AKHILESH KR. DAS"	"Samajwadi Party"	"8149"	"0"	"8149"	""
"41"	"6"	"MAZHARUL BARI"	"Apna Dal"	"229"	"0"	"229"	""
"42"	"7"	"MD. RAHWAR ALAM"	"Indian Justice Party"	"277"	"0"	"277"	""
"43"	"8"	"ABDUL RAJAK"	"Independent"	"85"	"0"	"85"	""
"44"	"9"	"JABED AKBAL"	"Independent"	"113"	"0"	"113"	""
