"Polling.Station.No."	"I"	"II"	"III"	"IV"	"V"	"VI"	"VII"	"VIII"	"IX"	"X"	"Total.Votes.Polled"
"1"	""	"JAMUN"	"DILIP KUMAR"	"NEELAM"	"LESHI SINGH"	"SANDHYA VERMA"	"ARUN"	"SHIV SHANKAR"	"BALRAM"	"RAJENDRA"	"RAMPADARATH"	""
"2"	""	"MURMU"	"YADAV"	"DEVI"	""	""	"MEHTA"	"THAKUR"	"SINGH"	"MANDAL"	"SINGH"	""
"3"	""	"Bahujan"	"Rashtriya"	"Lok Jan"	"Janata Dal"	"Communist party of India"	"Apna"	"Samajwadi"	"Independent"	"Independent"	"Independent"	""
"4"	""	"Samaj Party"	"Janata Dal"	"Shakti Party"	"(United)"	"(marxist-Leninist)(Liberation)"	"Dal"	"Party"	""	""	""	""
"5"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"6"	"1"	"6"	"14"	"573"	"12"	"4"	"5"	"1"	"10"	"3"	"12"	"640"
"7"	"2"	"25"	"44"	"469"	"21"	"7"	"11"	"8"	"22"	"16"	"40"	"663"
"8"	"3"	"20"	"16"	"371"	"29"	"9"	"5"	"10"	"19"	"5"	"37"	"521"
"9"	"4"	"16"	"31"	"292"	"20"	"8"	"6"	"7"	"16"	"5"	"14"	"415"
"10"	"5"	"31"	"264"	"102"	"19"	"9"	"3"	"8"	"7"	"3"	"17"	"463"
"11"	"6"	"23"	"35"	"376"	"19"	"4"	"13"	"6"	"21"	"7"	"20"	"524"
"12"	"7"	"19"	"30"	"236"	"28"	"4"	"9"	"9"	"24"	"9"	"30"	"398"
"13"	"8"	"16"	"93"	"117"	"36"	"7"	"1"	"9"	"5"	"11"	"22"	"317"
"14"	"8A"	"10"	"14"	"126"	"56"	"6"	"7"	"7"	"11"	"3"	"15"	"255"
"15"	"9"	"9"	"83"	"95"	"47"	"5"	"0"	"4"	"4"	"1"	"6"	"254"
"16"	"10"	"19"	"192"	"98"	"42"	"5"	"2"	"3"	"3"	"4"	"9"	"377"
"17"	"11"	"6"	"162"	"27"	"36"	"1"	"3"	"3"	"5"	"11"	"14"	"268"
"18"	"12"	"7"	"13"	"86"	"163"	"7"	"3"	"9"	"7"	"4"	"10"	"309"
"19"	"13"	"15"	"119"	"78"	"90"	"9"	"5"	"8"	"6"	"3"	"26"	"359"
"20"	"14"	"38"	"152"	"79"	"231"	"7"	"4"	"7"	"5"	"6"	"14"	"543"
"21"	"15"	"8"	"14"	"99"	"154"	"7"	"4"	"7"	"4"	"6"	"12"	"315"
"22"	"15A"	"4"	"25"	"33"	"276"	"2"	"1"	"3"	"1"	"0"	"0"	"345"
"23"	"16"	"4"	"18"	"139"	"108"	"23"	"6"	"8"	"1"	"3"	"19"	"329"
"24"	"16A"	"7"	"14"	"193"	"82"	"40"	"5"	"5"	"3"	"8"	"5"	"362"
"25"	"Polling Station No."	"I"	"II"	"III"	"IV"	"V"	"VI"	"VII"	"VIII"	"IX"	"X"	"Total Votes Polled"
"26"	""	"JAMUN"	"DILIP KUMAR"	"NEELAM"	"LESHI SINGH"	"SANDHYA VERMA"	"ARUN"	"SHIV SHANKAR"	"BALRAM"	"RAJENDRA"	"RAMPADARATH"	""
"27"	""	"MURMU"	"YADAV"	"DEVI"	""	""	"MEHTA"	"THAKUR"	"SINGH"	"MANDAL"	"SINGH"	""
"28"	""	"Bahujan"	"Rashtriya"	"Lok Jan"	"Janata Dal"	"Communist party of India"	"Apna"	"Samajwadi"	"Independent"	"Independent"	"Independent"	""
"29"	""	"Samaj Party"	"Janata Dal"	"Shakti Party"	"(United)"	"(marxist-Leninist)(Liberation)"	"Dal"	"Party"	""	""	""	""
"30"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"31"	"17"	"17"	"220"	"229"	"101"	"46"	"7"	"14"	"11"	"13"	"38"	"696"
"32"	"18"	"20"	"248"	"112"	"77"	"50"	"8"	"8"	"5"	"2"	"9"	"539"
"33"	"19"	"15"	"28"	"27"	"363"	"11"	"4"	"7"	"6"	"9"	"23"	"493"
"34"	"20"	"17"	"153"	"21"	"141"	"3"	"3"	"10"	"6"	"5"	"6"	"365"
"35"	"21"	"17"	"39"	"33"	"356"	"10"	"3"	"6"	"3"	"2"	"6"	"475"
"36"	"22"	"33"	"82"	"15"	"344"	"5"	"1"	"14"	"1"	"3"	"8"	"506"
"37"	"23"	"11"	"23"	"14"	"365"	"4"	"2"	"9"	"3"	"2"	"4"	"437"
"38"	"24"	"27"	"127"	"128"	"84"	"8"	"9"	"19"	"8"	"14"	"26"	"450"
"39"	"25"	"5"	"32"	"185"	"36"	"4"	"5"	"6"	"8"	"10"	"20"	"311"
"40"	"26"	"21"	"240"	"74"	"52"	"3"	"6"	"7"	"7"	"6"	"19"	"435"
"41"	"26A"	"3"	"142"	"164"	"32"	"5"	"3"	"9"	"2"	"4"	"15"	"379"
"42"	"27"	"32"	"229"	"395"	"43"	"8"	"8"	"4"	"14"	"5"	"14"	"752"
"43"	"28"	"33"	"340"	"23"	"114"	"6"	"5"	"5"	"5"	"3"	"19"	"553"
"44"	"29"	"25"	"292"	"37"	"98"	"6"	"2"	"4"	"3"	"8"	"18"	"493"
"45"	"30"	"24"	"252"	"13"	"79"	"6"	"5"	"7"	"7"	"6"	"26"	"425"
