"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"Annexure.XLI..CHAPTER.XIV.PARA.26.9."	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	""	""	""	""	""	""	""	"FORM 20
FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""
"2"	""	""	""	""	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 201-BUXAR CONSTITUENCY PART I
(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""
"3"	""	"Total No. of Electors in Assembly Constituency Name of the Assembly Segment"	""	""	""	""	""	"207197+578
201 BUXAR"	""	""	""	""	""	""	""	""
"4"	""	""	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""
"5"	""	"Serial No. of Polling Station"	""	"Jawahar Lal Choudhary"	"Shiv Kumar Sharma"	"Prof.Sukhada Pandey"	"Hridaya Narayan Singh"	"Upendra Dubey"	"Jitendra Kumar Singh"	"Raghuwar Sharan Pathak"	"Surendra Singh"	"TOTAL VALID VOTES"	"REJECTED VOTES"	"TOTAL VOTES"	"NO.OF TENDERED VOTES"	""
"6"	""	""	""	"CD1"	"CD2"	"CD3"	"CD4"	"CD5"	"CD6"	"CD7"	"CD8"	""	""	""	""	""
"7"	"R
o u n d
1"	""	"1"	"10"	"4"	"211"	"95"	"1"	"2"	"3"	"3"	"329"	"0"	"329"	"0"	""
"8"	""	""	"1A"	"7"	"0"	"294"	"64"	"1"	"2"	"2"	"0"	"370"	"0"	"370"	"0"	""
"9"	""	""	"2"	"6"	"1"	"320"	"48"	"2"	"4"	"2"	"2"	"385"	"0"	"385"	"0"	""
"10"	""	""	"2A"	"4"	"0"	"278"	"66"	"1"	"1"	"1"	"3"	"354"	"0"	"354"	"0"	""
"11"	""	""	"3"	"11"	"8"	"316"	"103"	"5"	"2"	"3"	"8"	"456"	"0"	"456"	"0"	""
"12"	""	""	"4"	"11"	"7"	"376"	"219"	"8"	"5"	"6"	"6"	"638"	"0"	"638"	"0"	""
"13"	""	""	"5"	"14"	"21"	"51"	"388"	"12"	"5"	"4"	"13"	"508"	"0"	"508"	"0"	""
"14"	""	""	"5A"	"2"	"6"	"40"	"177"	"1"	"0"	"1"	"1"	"228"	"0"	"228"	"0"	""
"15"	""	""	"6"	"7"	"30"	"60"	"333"	"3"	"4"	"1"	"4"	"442"	"0"	"442"	"0"	""
"16"	""	""	"7"	"17"	"6"	"297"	"229"	"6"	"3"	"4"	"8"	"570"	"0"	"570"	"0"	""
"17"	""	""	"8"	"11"	"15"	"184"	"186"	"5"	"2"	"3"	"3"	"409"	"0"	"409"	"0"	""
"18"	""	""	"9"	"9"	"5"	"228"	"252"	"9"	"5"	"1"	"9"	"518"	"0"	"518"	"0"	""
"19"	""	""	"10"	"5"	"6"	"281"	"237"	"5"	"2"	"1"	"3"	"540"	"0"	"540"	"0"	""
"20"	""	""	"11"	"12"	"9"	"226"	"190"	"13"	"5"	"3"	"8"	"466"	"0"	"466"	"0"	""
"21"	"TOTAL"	""	""	"126"	"118"	"3162"	"2587"	"72"	"42"	"35"	"71"	"6213"	"0"	"6213"	"0"	""
"22"	""	""	""	""	""	""	""	"Annexure XLI [CHAPTER XIV,PARA 26.9]"	""	""	""	""	""	""	""	""
"23"	""	""	""	""	""	""	""	"FORM 20
FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""
"24"	""	""	""	""	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 201-BUXAR CONSTITUENCY PART I
(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""
"25"	""	"Total No. of Electors in Assembly Constituency Name of the Assembly Segment"	""	""	""	""	""	"207197+578
201 BUXAR"	""	""	""	""	""	""	""	""
"26"	""	""	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""
"27"	""	"Serial No. of Polling Station"	""	"Jawahar Lal Choudhary"	"Shiv Kumar Sharma"	"Prof.Sukhada Pandey"	"Hridaya Narayan Singh"	"Upendra Dubey"	"Jitendra Kumar Singh"	"Raghuwar Sharan Pathak"	"Surendra Singh"	"TOTAL VALID VOTES"	"REJECTED VOTES"	"TOTAL VOTES"	"NO.OF TENDERED VOTES"	""
"28"	""	""	""	"CD1"	"CD2"	"CD3"	"CD4"	"CD5"	"CD6"	"CD7"	"CD8"	""	""	""	""	""
"29"	"R
o u n d
2"	""	"11A"	"19"	"6"	"92"	"139"	"3"	"1"	"1"	"1"	"262"	"0"	"262"	"0"	""
"30"	""	""	"12"	"9"	"2"	"44"	"48"	"1"	"2"	"2"	"0"	"108"	"0"	"108"	"0"	""
"31"	""	""	"13"	"4"	"4"	"231"	"51"	"2"	"0"	"1"	"2"	"295"	"0"	"295"	"0"	""
"32"	""	""	"13A"	"4"	"4"	"169"	"81"	"2"	"9"	"0"	"4"	"273"	"0"	"273"	"0"	""
"33"	""	""	"14"	"9"	"1"	"138"	"59"	"0"	"2"	"2"	"2"	"213"	"0"	"213"	"0"	""
"34"	""	""	"14A"	"7"	"5"	"125"	"101"	"3"	"4"	"3"	"4"	"252"	"0"	"252"	"0"	""
