"Table.No."	"Sl..No..of.Polling.Station"	"X."	"X..1"	"Number.of.Valid.votes.cast.in.favour.of"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"TOTAL.No..of.valid.votes"	"X..19"	"X..20"	"X..21"	"No..of.rejected.votes"	"X..22"	"X..23"	"Total.no..of.votes"	"X..24"	"X..25"	"Total.No..of.tendered.votes"	"X..26"	"X..27"
"1"	""	""	""	""	"UDAY NARAIN CHAUDH RY"	""	""	"YOGENDRA MANJHI"	""	""	"RAM SWAROOP PASWAN"	""	""	"RAUSHAN KUMAR"	""	""	"RAM BHAJAN MANAV"	""	""	"RAMBALI RISHIYASHAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"1"	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	""	"9"	""	""	""	"10"	""	""	"11"	""	""	"12"	""	""
"3"	"1"	"1"	""	""	"49"	""	""	"10"	""	""	"124"	""	""	"25"	""	""	"7"	""	""	"5"	""	""	"220"	""	""	""	"0"	""	""	"220"	""	""	""	""	""
"4"	"2"	"2"	""	""	"63"	""	""	"9"	""	""	"82"	""	""	"36"	""	""	"7"	""	""	"13"	""	""	"210"	""	""	""	"0"	""	""	"210"	""	""	""	""	""
"5"	"3"	"3"	""	""	"56"	""	""	"14"	""	""	"13"	""	""	"4"	""	""	"2"	""	""	"5"	""	""	"94"	""	""	""	"0"	""	""	"94"	""	""	""	""	""
"6"	"4"	"4"	""	""	"55"	""	""	"11"	""	""	"189"	""	""	"27"	""	""	"6"	""	""	"19"	""	""	"307"	""	""	""	"0"	""	""	"307"	""	""	""	""	""
"7"	"5"	"5"	""	""	"206"	""	""	"9"	""	""	"97"	""	""	"16"	""	""	"8"	""	""	"23"	""	""	"359"	""	""	""	"0"	""	""	"359"	""	""	""	""	""
"8"	"6"	"6"	""	""	"157"	""	""	"11"	""	""	"93"	""	""	"27"	""	""	"8"	""	""	"16"	""	""	"312"	""	""	""	"0"	""	""	"312"	""	""	""	""	""
"9"	"7"	"7"	""	""	"140"	""	""	"6"	""	""	"164"	""	""	"20"	""	""	"21"	""	""	"24"	""	""	"375"	""	""	""	"0"	""	""	"375"	""	""	""	""	""
"10"	"8"	"8"	""	""	"266"	""	""	"16"	""	""	"141"	""	""	"27"	""	""	"13"	""	""	"23"	""	""	"486"	""	""	""	"0"	""	""	"486"	""	""	""	""	""
"11"	"9"	"9"	""	""	"320"	""	""	"10"	""	""	"148"	""	""	"16"	""	""	"9"	""	""	"10"	""	""	"513"	""	""	""	"0"	""	""	"513"	""	""	""	""	""
"12"	"10"	"10"	""	""	"275"	""	""	"8"	""	""	"102"	""	""	"40"	""	""	"6"	""	""	"9"	""	""	"440"	""	""	""	"0"	""	""	"440"	""	""	""	""	""
"13"	"11"	"11"	""	""	"110"	""	""	"7"	""	""	"132"	""	""	"20"	""	""	"1"	""	""	"8"	""	""	"278"	""	""	""	"0"	""	""	"278"	""	""	""	""	""
"14"	"12"	"11A"	""	""	"215"	""	""	"12"	""	""	"63"	""	""	"74"	""	""	"11"	""	""	"14"	""	""	"389"	""	""	""	"0"	""	""	"389"	""	""	""	""	""
"15"	"13"	"12"	""	""	"205"	""	""	"2"	""	""	"94"	""	""	"46"	""	""	"2"	""	""	"9"	""	""	"358"	""	""	""	"0"	""	""	"358"	""	""	""	""	""
"16"	"14"	"13"	""	""	"57"	""	""	"5"	""	""	"69"	""	""	"107"	""	""	"8"	""	""	"17"	""	""	"263"	""	""	""	"0"	""	""	"263"	""	""	""	""	""
"17"	"Total"	""	""	""	"2174"	""	""	"130"	""	""	"1511"	""	""	"485"	""	""	"109"	""	""	"195"	""	""	"4604"	""	""	""	"0"	""	""	"4604"	""	""	""	""	""
"18"	"Table No."	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No. of valid votes"	""	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""
"19"	""	""	""	""	"UDAY NARAIN CHAUDH RY"	""	""	"YOGENDRA MANJHI"	""	""	"RAM SWAROOP PASWAN"	""	""	"RAUSHAN KUMAR"	""	""	"RAM BHAJAN MANAV"	""	""	"RAMBALI RISHIYASHAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"20"	"1"	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	""	"9"	""	""	""	"10"	""	""	"11"	""	""	"12"	""	""
"21"	"1"	"13A"	""	""	"141"	""	""	"10"	""	""	"57"	""	""	"107"	""	""	"15"	""	""	"15"	""	""	"345"	""	""	""	"0"	""	""	"345"	""	""	""	""	""
"22"	"2"	"14"	""	""	"137"	""	""	"11"	""	""	"168"	""	""	"74"	""	""	"7"	""	""	"17"	""	""	"414"	""	""	""	"0"	""	""	"414"	""	""	""	""	""
"23"	"3"	"15"	""	""	"69"	""	""	"11"	""	""	"79"	""	""	"190"	""	""	"13"	""	""	"19"	""	""	"381"	""	""	""	"0"	""	""	"381"	""	""	""	""	""
"24"	"4"	"16"	""	""	"119"	""	""	"17"	""	""	"106"	""	""	"173"	""	""	"14"	""	""	"23"	""	""	"452"	""	""	""	"0"	""	""	"452"	""	""	""	""	""
"25"	"5"	"16A"	""	""	"144"	""	""	"2"	""	""	"43"	""	""	"16"	""	""	"2"	""	""	"7"	""	""	"214"	""	""	""	"0"	""	""	"214"	""	""	""	""	""
"26"	"6"	"17"	""	""	"5"	""	""	"1"	""	""	"391"	""	""	"7"	""	""	"0"	""	""	"0"	""	""	"404"	""	""	""	"0"	""	""	"404"	""	""	""	""	""
