"No..and.Name.of.Assembly.Constituency...........50..Mahua..SC."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"
"1"	"Total No. of Electors in the Assembly Constituency :-  186494"	""	""	""	""	""	""	""	""	""
"2"	"Round No.  :-    1"	""	""	""	""	""	""	""	""	""
"3"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"4"	""	""	"1"	"2"	"3"	"4"	""	""	""	""
"5"	""	""	"JD (U)"	"BSP"	"LJP"	"RJD"	""	""	""	""
"6"	""	""	"DASAI CHOUDHARY"	"BAL KRISHNA RAM"	"MEENA DEVI"	"SHIVCHAND RAM"	""	""	""	""
"7"	"1"	"418"	"175"	"14"	"55"	"174"	"418"	"0"	"418"	"0"
"8"	"2"	"403"	"135"	"11"	"118"	"139"	"403"	"0"	"403"	"0"
"9"	"3"	"557"	"219"	"15"	"149"	"174"	"557"	"0"	"557"	"0"
"10"	"4"	"365"	"57"	"18"	"137"	"153"	"365"	"0"	"365"	"0"
"11"	"5"	"426"	"36"	"12"	"98"	"280"	"426"	"0"	"426"	"0"
"12"	"6"	"324"	"108"	"13"	"54"	"149"	"324"	"0"	"324"	"0"
"13"	"7"	"365"	"60"	"6"	"61"	"238"	"365"	"0"	"365"	"0"
"14"	"8"	"604"	"193"	"19"	"151"	"241"	"604"	"0"	"604"	"0"
"15"	"9"	"514"	"162"	"15"	"81"	"256"	"514"	"0"	"514"	"0"
"16"	"10"	"328"	"62"	"12"	"55"	"199"	"328"	"0"	"328"	"0"
"17"	"11"	"590"	"269"	"18"	"168"	"135"	"590"	"0"	"590"	"0"
"18"	"12"	"370"	"117"	"17"	"190"	"46"	"370"	"0"	"370"	"0"
"19"	"12K"	"365"	"263"	"7"	"44"	"51"	"365"	"0"	"365"	"0"
"20"	"13"	"383"	"140"	"17"	"145"	"81"	"383"	"0"	"383"	"0"
"21"	"Grand Total"	"6012"	"1996"	"194"	"1506"	"2316"	"6012"	"0"	"6012"	"0"
"22"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"23"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"24"	"No. and Name of Assembly Constituency  :-       50- Mahua (SC)"	""	""	""	""	""	""	""	""	""
"25"	"Total No. of Electors in the Assembly Constituency :-  186494"	""	""	""	""	""	""	""	""	""
"26"	"Round No.  :-    2"	""	""	""	""	""	""	""	""	""
"27"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"28"	""	""	"1"	"2"	"3"	"4"	""	""	""	""
"29"	""	""	"JD (U)"	"BSP"	"LJP"	"RJD"	""	""	""	""
