"No..and.Name.of.Assembly.Constituency...........51..Lalganji"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"Total No. of Electors in the Assembly Constituency :-  196591"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Round No.  :-    1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"4"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"5"	""	""	"BSP"	"LJP"	"RJD"	"JD (U)"	"SP"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"6"	""	""	"BALI RAM SAHNI"	"BHARAT PD. SINGH"	"RAJ KUMAR SAH"	"VIJAY KUMAR SHUKLA"	"NISHANT GANDHI"	"TRIBHUVAN RAI"	"BAIDHNATH SAH"	"RAKESH KUMAR"	"RAJENDRA SHARMA"	"RAMJI RAI"	""	""	""	""
"7"	"1"	"682"	"20"	"45"	"263"	"278"	"6"	"8"	"18"	"9"	"11"	"24"	"682"	"0"	"682"	"0"
"8"	"2"	"254"	"5"	"6"	"2"	"229"	"4"	"0"	"6"	"0"	"1"	"1"	"254"	"0"	"254"	"0"
"9"	"3"	"553"	"14"	"11"	"30"	"435"	"8"	"4"	"30"	"4"	"2"	"15"	"553"	"0"	"553"	"0"
"10"	"4"	"425"	"8"	"11"	"244"	"128"	"3"	"3"	"9"	"5"	"6"	"8"	"425"	"0"	"425"	"0"
"11"	"5"	"375"	"6"	"24"	"221"	"93"	"4"	"2"	"7"	"4"	"6"	"8"	"375"	"0"	"375"	"0"
"12"	"5K"	"230"	"5"	"1"	"71"	"129"	"3"	"1"	"7"	"2"	"3"	"8"	"230"	"0"	"230"	"0"
"13"	"6"	"444"	"12"	"6"	"282"	"113"	"7"	"4"	"7"	"7"	"3"	"3"	"444"	"0"	"444"	"0"
"14"	"7"	"491"	"12"	"5"	"195"	"220"	"7"	"7"	"24"	"6"	"5"	"10"	"491"	"0"	"491"	"0"
"15"	"8"	"557"	"11"	"9"	"237"	"249"	"5"	"6"	"19"	"8"	"2"	"11"	"557"	"0"	"557"	"0"
"16"	"9"	"363"	"12"	"10"	"274"	"40"	"2"	"2"	"2"	"4"	"2"	"15"	"363"	"0"	"363"	"0"
"17"	"10"	"550"	"10"	"6"	"354"	"141"	"15"	"3"	"3"	"9"	"4"	"5"	"550"	"0"	"550"	"0"
"18"	"11"	"449"	"5"	"4"	"33"	"384"	"4"	"3"	"9"	"4"	"1"	"2"	"449"	"0"	"449"	"0"
"19"	"12"	"487"	"6"	"25"	"23"	"367"	"8"	"3"	"27"	"4"	"9"	"15"	"487"	"0"	"487"	"0"
"20"	"13"	"339"	"8"	"142"	"65"	"96"	"5"	"3"	"3"	"6"	"2"	"9"	"339"	"0"	"339"	"0"
"21"	"Grand Total"	"6199"	"134"	"305"	"2294"	"2902"	"81"	"49"	"171"	"72"	"57"	"134"	"6199"	"0"	"6199"	"0"
