"er.nku.dsUnz.l.a....k"	"i.kj.l..ukFk.i.kBd"	"c.f..k.k.i.Vsy"	"fot.....kadj..nwcs"	"gsuk...kgkc"	"vej..ukFk...kno"	"vLouh.dq0.oekZ"	"ek.kqj.h.i.k.Ms."	"yky..ckcq.fr.okj.h"	"mes..k.fr.okj.h"	"vkse.i.zdk..k...kno"	"fuf.k.dhfr.Z"	"i.zHkw.ukFk.ekyh"	"MkW0.equs..oj.i.zl.kn"	"j.kt.sUnz.dqekj"	"X..kEHkw.ukFk.i.zl.kn"	"dqy.fof.kekU..er"	"i.zfr..ksfi.r.er.ksa.dh.dqy..l.a....k"	"X..ksx"	"fufonr.er.ksa.dh.dqy..l.a....k"
"1"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"2"	1	12	0	6	148	8	5	2	1	2	326	3	4	2	15	10	544	0	544	NA
"3"	2	7	3	5	395	2	3	2	3	3	373	8	0	2	15	1	822	0	822	NA
"4"	3	15	7	4	215	7	12	6	4	11	351	6	8	3	46	10	705	0	705	NA
"5"	4	10	8	4	255	2	3	3	6	3	122	2	1	0	6	3	428	0	428	NA
"6"	5	14	2	2	316	7	7	3	0	7	203	7	19	5	15	11	618	0	618	NA
"7"	6	7	16	8	198	15	3	3	5	3	338	10	9	8	33	9	665	0	665	NA
"8"	7	12	1	8	499	11	4	2	2	0	136	2	6	3	5	3	694	0	694	NA
"9"	8	4	11	1	400	2	2	2	3	4	217	5	2	2	10	6	671	0	671	NA
"10"	9	20	13	3	47	4	6	1	5	9	266	7	4	2	29	5	421	0	421	NA
"11"	10	23	14	6	273	3	5	7	1	8	125	3	4	3	10	3	488	0	488	NA
"12"	NA	124	75	47	2746	61	50	31	30	50	2457	53	57	30	184	61	6056	0	6056	0
"13"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"14"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"15"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"16"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"17"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"18"	11	16	7	3	177	12	2	5	0	6	98	5	5	4	11	6	357	NA	357	NA
"19"	12	12	17	10	195	4	11	1	1	7	448	1	3	1	24	6	741	NA	741	NA
"20"	13	63	90	4	141	15	9	10	10	4	343	5	8	2	26	26	756	NA	756	NA
"21"	14	15	35	2	151	28	17	6	13	17	400	13	9	13	33	48	800	NA	800	NA
"22"	15	14	2	2	172	6	10	5	1	9	549	4	1	6	32	5	818	NA	818	NA
