"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"FINAL RESULT SHEET [SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 19- MAHARAJGANJ PARLIAMENTARY CONSTITUENCY 2009 PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used bothe for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of Electors in Assembly Constituency/Segment- 216294"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Name of the Assembly/segment - 116-TARAIYA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(in the case of election form a Parliamentary Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Round No-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"9"	""	"Umashanker Singh"	"Tarkeshwar Singh"	"Prabhu Nath Singh"	"Ravindra Nath Mishra"	"Ramesh Singh Kushwaha"	"Satyendra Kr. Sahani"	"Gautam Prasad"	"Dhurendra Ram"	"Nayan Prasad"	"Pradeep Manjhi"	"Banke Bihari Singh"	"Rajesh Kumar Singh"	"Breenda Pathak"	""	""	""	""
"10"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"11"	"1"	"49"	"117"	"99"	"8"	"10"	"1"	"1"	"0"	"2"	"3"	"2"	"9"	"4"	"305"	"0"	"305"	"0"
"12"	"2"	"12"	"58"	"254"	"3"	"1"	"4"	"0"	"2"	"4"	"3"	"6"	"2"	"11"	"360"	"0"	"360"	"0"
"13"	"3"	"57"	"521"	"186"	"20"	"13"	"13"	"6"	"8"	"3"	"9"	"8"	"19"	"32"	"895"	"0"	"895"	"0"
"14"	"4"	"48"	"211"	"401"	"16"	"4"	"5"	"1"	"0"	"8"	"2"	"6"	"1"	"9"	"712"	"0"	"712"	"0"
"15"	"5"	"104"	"144"	"174"	"6"	"2"	"3"	"1"	"4"	"4"	"2"	"7"	"5"	"13"	"469"	"0"	"469"	"0"
"16"	"6"	"14"	"197"	"99"	"7"	"1"	"2"	"2"	"1"	"4"	"3"	"5"	"6"	"8"	"349"	"0"	"349"	"0"
"17"	"7"	"2"	"148"	"115"	"2"	"0"	"0"	"1"	"0"	"1"	"2"	"8"	"4"	"8"	"291"	"0"	"291"	"0"
"18"	"8"	"10"	"123"	"139"	"2"	"1"	"3"	"1"	"1"	"4"	"0"	"7"	"6"	"15"	"312"	"0"	"312"	"0"
"19"	"9"	"173"	"130"	"125"	"1"	"1"	"0"	"0"	"0"	"1"	"2"	"0"	"3"	"3"	"439"	"0"	"439"	"0"
"20"	"10"	"16"	"328"	"171"	"5"	"1"	"2"	"5"	"5"	"4"	"1"	"10"	"17"	"20"	"585"	"0"	"585"	"0"
