"X.....................................................................................................................................................................................................Tabulation.of.Result.by.Additional.Counting.Staff......................................................................................................................................................................................................"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"
"1"	"ENTRY FORM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Name of the Assembly  - 141 Cheriya Bariyarpur Name of the Assembly  :  141 Cheriya Bariyarpur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"4"	""	"Anil Chaudhary"	"Amita Bhushan"	"Chandrash ekhar Mahto"	"Dr. Monazir Hassan"	"Shatrughn a Prasad Singh"	"Kishori Prasad Mahto"	"Ram Sah"	"Amiya Kashyap 'Bikki'"	"Arun Kumar"	"Ashok Sah"	"Dilip Kumar"	"Narendra Kumar Singh"	"Narayan Prasad Hisariya"	"Ranjeet Paswan"	"Radha Raman Paswan"	"Ram Dayal Bharti"	"Ram Naresh Prasad Singh"	"Ramshray a Nishad"	"Sajjan Chaudhary"	""	""	""	""
"5"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"
"6"	"1"	"283"	"89"	"10"	"109"	"131"	"15"	"1"	"2"	"2"	"7"	"12"	"13"	"1"	"2"	"4"	"24"	"2"	"3"	"1"	"711"	"0"	"711"	"0"
"7"	"2"	"166"	"24"	"2"	"228"	"78"	"4"	"3"	"1"	"5"	"6"	"4"	"18"	"2"	"4"	"6"	"11"	"34"	"13"	"4"	"613"	"0"	"613"	"0"
"8"	"3"	"77"	"37"	"0"	"226"	"28"	"0"	"0"	"1"	"1"	"2"	"6"	"17"	"6"	"3"	"6"	"10"	"7"	"3"	"5"	"435"	"0"	"435"	"0"
"9"	"4"	"110"	"107"	"7"	"223"	"106"	"11"	"1"	"1"	"3"	"3"	"11"	"16"	"5"	"0"	"7"	"9"	"4"	"2"	"2"	"628"	"0"	"628"	"0"
"10"	"5"	"79"	"39"	"5"	"28"	"169"	"7"	"2"	"2"	"2"	"4"	"9"	"45"	"3"	"1"	"4"	"12"	"0"	"1"	"0"	"412"	"0"	"412"	"0"
"11"	"6"	"22"	"21"	"3"	"335"	"27"	"4"	"2"	"1"	"3"	"1"	"0"	"6"	"4"	"1"	"5"	"12"	"3"	"0"	"3"	"453"	"0"	"453"	"0"
"12"	"7"	"78"	"24"	"5"	"54"	"122"	"8"	"2"	"12"	"1"	"5"	"4"	"100"	"6"	"5"	"6"	"19"	"3"	"1"	"1"	"456"	"0"	"456"	"0"
"13"	"8"	"118"	"72"	"3"	"158"	"233"	"8"	"5"	"0"	"5"	"9"	"5"	"9"	"3"	"2"	"23"	"40"	"19"	"9"	"13"	"734"	"0"	"734"	"0"
"14"	"9"	"111"	"53"	"7"	"216"	"97"	"6"	"4"	"2"	"3"	"5"	"5"	"11"	"3"	"0"	"3"	"9"	"4"	"1"	"1"	"541"	"0"	"541"	"0"
"15"	"10"	"130"	"52"	"4"	"120"	"127"	"8"	"2"	"3"	"3"	"4"	"4"	"7"	"3"	"2"	"5"	"12"	"12"	"4"	"5"	"507"	"0"	"507"	"0"
"16"	"11"	"119"	"109"	"7"	"99"	"104"	"11"	"5"	"5"	"9"	"18"	"27"	"60"	"16"	"4"	"14"	"39"	"35"	"12"	"21"	"714"	"0"	"714"	"0"
"17"	"12"	"101"	"110"	"6"	"244"	"19"	"1"	"34"	"1"	"1"	"6"	"4"	"6"	"4"	"6"	"12"	"37"	"3"	"1"	"5"	"601"	"0"	"601"	"0"
"18"	"13"	"80"	"152"	"5"	"227"	"36"	"5"	"2"	"2"	"2"	"1"	"3"	"21"	"11"	"5"	"11"	"34"	"3"	"3"	"2"	"605"	"0"	"605"	"0"
"19"	"14"	"53"	"115"	"10"	"135"	"95"	"15"	"3"	"3"	"1"	"8"	"4"	"32"	"12"	"6"	"14"	"17"	"3"	"2"	"1"	"529"	"0"	"529"	"0"
"20"	"15"	"58"	"31"	"5"	"262"	"29"	"38"	"3"	"2"	"4"	"3"	"2"	"33"	"10"	"6"	"12"	"20"	"29"	"27"	"23"	"597"	"0"	"597"	"0"
"21"	"16"	"76"	"14"	"4"	"262"	"32"	"45"	"3"	"4"	"4"	"2"	"11"	"18"	"23"	"9"	"10"	"34"	"4"	"6"	"3"	"564"	"0"	"564"	"0"
"22"	"17"	"66"	"6"	"1"	"188"	"67"	"80"	"1"	"0"	"2"	"1"	"5"	"11"	"1"	"1"	"3"	"16"	"4"	"3"	"3"	"459"	"0"	"459"	"0"
"23"	"18"	"83"	"30"	"5"	"264"	"25"	"24"	"5"	"1"	"6"	"1"	"7"	"15"	"4"	"3"	"6"	"13"	"4"	"5"	"7"	"508"	"0"	"508"	"0"
