"X.....................................................................................................................................................................................................Tabulation.of.Result.by.Additional.Counting.Staff......................................................................................................................................................................................................"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"
"1"	"ENTRY FORM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Name of the Assembly  :  143 Teghra"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"4"	""	"Anil Chaudhary"	"Amita Bhushan"	"Chandrash ekhar Mahto"	"Dr. Monazir Hassan"	"Shatrughn a Prasad Singh"	"Kishori Prasad Mahto"	"Ram Sah"	"Amiya Kashyap 'Bikki'"	"Arun Kumar"	"Ashok Sah"	"Dilip Kumar"	"Narendra Kumar Singh"	"Narayan Prasad Hisariya"	"Ranjeet Paswan"	"Radha Raman Paswan"	"Ram Dayal Bharti"	"Ram Naresh Prasad Singh"	"Ramshray a Nishad"	"Sajjan Chaudhary"	""	""	""	""
"5"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"
"6"	"1"	"3"	"77"	"6"	"143"	"283"	"8"	"2"	"1"	"2"	"1"	"4"	"70"	"7"	"6"	"6"	"10"	"2"	"0"	"4"	"635"	"0"	"635"	"0"
"7"	"2"	"106"	"126"	"2"	"166"	"42"	"4"	"2"	"2"	"1"	"3"	"4"	"12"	"8"	"1"	"9"	"22"	"3"	"1"	"6"	"520"	"0"	"520"	"0"
"8"	"3"	"32"	"155"	"3"	"172"	"122"	"6"	"1"	"2"	"3"	"4"	"2"	"80"	"2"	"4"	"9"	"15"	"1"	"1"	"1"	"615"	"0"	"615"	"0"
"9"	"4"	"42"	"153"	"9"	"209"	"64"	"2"	"3"	"1"	"0"	"1"	"1"	"83"	"6"	"2"	"4"	"13"	"2"	"6"	"3"	"604"	"0"	"604"	"0"
"10"	"5"	"117"	"126"	"20"	"39"	"97"	"4"	"0"	"5"	"3"	"4"	"2"	"115"	"1"	"0"	"4"	"2"	"2"	"1"	"2"	"544"	"0"	"544"	"0"
"11"	"6"	"25"	"214"	"5"	"101"	"209"	"2"	"1"	"1"	"0"	"4"	"2"	"73"	"1"	"2"	"3"	"8"	"0"	"1"	"0"	"652"	"0"	"652"	"0"
"12"	"7"	"107"	"79"	"3"	"90"	"19"	"1"	"1"	"2"	"2"	"3"	"9"	"71"	"5"	"6"	"7"	"28"	"16"	"11"	"7"	"467"	"0"	"467"	"0"
"13"	"8"	"19"	"6"	"7"	"185"	"146"	"3"	"2"	"2"	"1"	"1"	"4"	"14"	"5"	"2"	"0"	"6"	"5"	"4"	"7"	"419"	"0"	"419"	"0"
"14"	"9"	"60"	"6"	"2"	"97"	"104"	"3"	"0"	"2"	"3"	"2"	"3"	"7"	"4"	"3"	"10"	"19"	"4"	"7"	"4"	"340"	"0"	"340"	"0"
"15"	"10"	"57"	"213"	"2"	"51"	"24"	"0"	"0"	"0"	"1"	"0"	"0"	"11"	"0"	"0"	"2"	"0"	"3"	"1"	"0"	"365"	"0"	"365"	"0"
"16"	"11"	"17"	"127"	"5"	"115"	"193"	"3"	"2"	"0"	"1"	"1"	"1"	"42"	"1"	"1"	"2"	"8"	"6"	"0"	"7"	"532"	"0"	"532"	"0"
"17"	"12"	"2"	"30"	"0"	"30"	"48"	"2"	"0"	"0"	"0"	"0"	"1"	"12"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"128"	"0"	"128"	"0"
"18"	"13"	"13"	"152"	"7"	"95"	"57"	"3"	"0"	"1"	"2"	"1"	"0"	"19"	"5"	"1"	"12"	"24"	"2"	"0"	"3"	"397"	"0"	"397"	"0"
"19"	"14"	"30"	"210"	"13"	"107"	"49"	"6"	"2"	"1"	"1"	"1"	"0"	"1"	"2"	"3"	"3"	"9"	"8"	"14"	"3"	"463"	"0"	"463"	"0"
"20"	"15"	"9"	"219"	"1"	"78"	"159"	"3"	"0"	"1"	"0"	"1"	"2"	"14"	"0"	"4"	"13"	"23"	"1"	"3"	"1"	"532"	"0"	"532"	"0"
"21"	"16"	"27"	"86"	"5"	"111"	"143"	"5"	"5"	"0"	"3"	"4"	"3"	"40"	"4"	"3"	"8"	"18"	"17"	"15"	"18"	"515"	"0"	"515"	"0"
"22"	"17"	"148"	"33"	"2"	"73"	"73"	"10"	"1"	"0"	"3"	"4"	"9"	"29"	"6"	"4"	"5"	"36"	"15"	"2"	"3"	"456"	"0"	"456"	"0"
"23"	"18"	"86"	"48"	"2"	"94"	"42"	"0"	"5"	"1"	"2"	"6"	"5"	"7"	"0"	"3"	"2"	"11"	"11"	"3"	"4"	"332"	"0"	"332"	"0"
