"ANNEXURE...XLII"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"1"	"(CHAPTER XIV, PARA 25.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET [SEE RULE 56C (2)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 26-BHAGALPUR PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART-I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of Electors in Assembly Segment  :-   205767"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of Assembly Segement :- 153-Gopalpur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Sl.
No."	"No. of Polling Station"	"No. of valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"8"	""	""	"Ajit Sharma"	"Shakuni Choudhary"	"Sadanand Singh"	"Subodh Roy"	"Syed Shahnawaz Hussain"	"Daya Ram Mandal"	"Deepak Ram"	"Naresh Mandal"	"Md. Izrail"	"Raman Sah"	"Ram Vilash Paswan"	"Srinarayan Gauswami"	"Amit Kumar Jha"	"Anand Kumar Jain"	"Indradeo Kumar Singh"	"Dinesh Yadav"	"Dr. N.K. Yadav"	"Ratan Kumar Mandal"	"Ravishankar Singh"	"Laddu"	"Sikandar Tanti"	""	""	""	""
"9"	"1"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"10"	"1"	"1"	"12"	"55"	"15"	"9"	"285"	"18"	"0"	"2"	"2"	"3"	"20"	"11"	"8"	"7"	"7"	"22"	"2"	"8"	"0"	"0"	"1"	"487"	"0"	"487"	"0"
"11"	"2"	"2"	"53"	"30"	"22"	"1"	"218"	"4"	"5"	"0"	"0"	"2"	"5"	"6"	"1"	"2"	"2"	"16"	"4"	"2"	"1"	"0"	"0"	"374"	"0"	"374"	"0"
"12"	"3"	"3"	"75"	"75"	"6"	"30"	"167"	"5"	"2"	"2"	"0"	"1"	"6"	"1"	"1"	"3"	"2"	"5"	"1"	"1"	"1"	"0"	"5"	"389"	"0"	"389"	"0"
"13"	"4"	"4"	"8"	"4"	"11"	"2"	"309"	"4"	"1"	"1"	"1"	"0"	"4"	"2"	"3"	"1"	"5"	"22"	"7"	"0"	"6"	"1"	"10"	"402"	"0"	"402"	"0"
"14"	"5"	"5"	"15"	"43"	"25"	"27"	"140"	"9"	"0"	"3"	"0"	"4"	"9"	"5"	"5"	"2"	"0"	"9"	"4"	"1"	"3"	"1"	"4"	"309"	"0"	"309"	"0"
"15"	"6"	"6"	"19"	"136"	"8"	"32"	"172"	"14"	"3"	"5"	"2"	"3"	"13"	"9"	"8"	"6"	"5"	"22"	"6"	"10"	"2"	"1"	"3"	"479"	"0"	"479"	"0"
"16"	"7"	"7"	"16"	"7"	"3"	"102"	"69"	"4"	"2"	"5"	"0"	"0"	"7"	"0"	"4"	"1"	"4"	"5"	"3"	"24"	"4"	"3"	"1"	"264"	"0"	"264"	"0"
"17"	"8"	"8"	"15"	"24"	"19"	"63"	"176"	"10"	"4"	"5"	"8"	"8"	"22"	"10"	"2"	"3"	"13"	"27"	"3"	"8"	"1"	"1"	"0"	"422"	"0"	"422"	"0"
"18"	"9"	"9"	"13"	"13"	"11"	"108"	"148"	"9"	"3"	"9"	"6"	"5"	"21"	"12"	"12"	"6"	"10"	"23"	"12"	"80"	"6"	"7"	"13"	"527"	"0"	"527"	"0"
"19"	"10"	"10"	"12"	"107"	"20"	"89"	"92"	"3"	"3"	"1"	"4"	"4"	"6"	"1"	"6"	"5"	"2"	"9"	"11"	"8"	"3"	"6"	"6"	"398"	"0"	"398"	"0"
"20"	"11"	"11"	"5"	"9"	"16"	"76"	"53"	"2"	"1"	"4"	"1"	"1"	"2"	"2"	"1"	"3"	"4"	"9"	"9"	"171"	"7"	"6"	"15"	"397"	"0"	"397"	"0"
"21"	"12"	"12"	"8"	"31"	"6"	"45"	"118"	"5"	"3"	"2"	"2"	"4"	"8"	"4"	"3"	"7"	"3"	"11"	"5"	"3"	"0"	"3"	"9"	"280"	"0"	"280"	"0"
"22"	"13"	"13"	"11"	"32"	"5"	"9"	"125"	"6"	"5"	"6"	"3"	"1"	"11"	"5"	"7"	"4"	"2"	"8"	"7"	"0"	"2"	"4"	"16"	"269"	"0"	"269"	"0"
"23"	"14"	"14"	"59"	"25"	"37"	"102"	"383"	"22"	"32"	"7"	"7"	"7"	"20"	"6"	"16"	"8"	"7"	"24"	"8"	"1"	"2"	"4"	"9"	"786"	"0"	"786"	"0"
