"ANNEXURE...XLII"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"(CHAPTER XIV, PARA 25.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 27- BANKA PARLIAMENTARY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Assembly No."	"Sl. No. of Polling Station"	"No. of valid votes Cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"
"5"	""	""	"GIRIDHARI YADAV"	"JAI PRAKESH NARAIN YADAV"	"DAMODAR RAWAT"	"MUKESH KUMAR SINGH"	"SANJAY KUMAR"	"ANIL KUMAR ALIAS ANIL
GUPTA"	"AMRESHWAR KUMAR"	"ARVIND KUMAR SAH"	"KEDAR PRASAD SINGH"	"MAHBOOB ALAM ANSARI"	"RAJENDRA PANDIT NETAJEE"	"VIVEKA NAND JHA"	"C.P. SINHA"	"DIGVIJAY SINGH"	"NARAYAN RAM"	"MOHD. HUMAYUN"	""	""
"6"	"163"	"1"	"7"	"81"	"93"	"2"	"1"	"1"	"0"	"0"	"0"	"1"	"9"	"1"	"6"	"49"	"15"	"5"	"271"	"Nil"
"7"	"163"	"2"	"1"	"19"	"45"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"15"	"2"	"0"	"13"	"4"	"3"	"104"	"Nil"
"8"	"163"	"3"	"6"	"134"	"80"	"4"	"0"	"0"	"1"	"1"	"2"	"1"	"21"	"4"	"6"	"199"	"16"	"9"	"484"	"Nil"
"9"	"163"	"4"	"8"	"190"	"75"	"10"	"3"	"4"	"2"	"4"	"1"	"2"	"28"	"3"	"12"	"45"	"16"	"22"	"425"	"Nil"
"10"	"163"	"5"	"1"	"79"	"105"	"6"	"0"	"0"	"0"	"0"	"4"	"3"	"18"	"2"	"13"	"65"	"17"	"8"	"321"	"Nil"
"11"	"163"	"6"	"7"	"124"	"64"	"2"	"1"	"0"	"1"	"0"	"1"	"0"	"11"	"3"	"7"	"83"	"12"	"4"	"320"	"Nil"
"12"	"163"	"7"	"16"	"207"	"40"	"2"	"3"	"1"	"1"	"0"	"0"	"2"	"6"	"2"	"6"	"98"	"25"	"21"	"430"	"Nil"
"13"	"163"	"8"	"6"	"67"	"301"	"2"	"1"	"0"	"1"	"3"	"2"	"2"	"30"	"1"	"11"	"68"	"3"	"3"	"501"	"Nil"
"14"	"163"	"9"	"23"	"182"	"286"	"6"	"3"	"2"	"0"	"1"	"3"	"2"	"31"	"2"	"7"	"64"	"16"	"0"	"628"	"Nil"
"15"	"163"	"10"	"4"	"11"	"82"	"2"	"0"	"1"	"1"	"2"	"1"	"2"	"24"	"6"	"9"	"165"	"20"	"11"	"341"	"Nil"
"16"	"163"	"11"	"10"	"10"	"107"	"7"	"0"	"3"	"1"	"0"	"2"	"1"	"11"	"9"	"6"	"113"	"17"	"8"	"305"	"Nil"
"17"	"163"	"12"	"17"	"167"	"98"	"5"	"0"	"4"	"0"	"0"	"4"	"0"	"6"	"1"	"3"	"48"	"10"	"3"	"366"	"Nil"
"18"	"163"	"13"	"5"	"48"	"123"	"2"	"0"	"0"	"0"	"1"	"1"	"0"	"22"	"2"	"9"	"122"	"11"	"5"	"351"	"Nil"
"19"	"163"	"14"	"12"	"99"	"175"	"2"	"0"	"1"	"0"	"0"	"2"	"0"	"26"	"3"	"8"	"21"	"3"	"8"	"360"	"Nil"
"20"	"163"	"15"	"19"	"69"	"331"	"6"	"3"	"0"	"0"	"1"	"3"	"1"	"35"	"7"	"10"	"102"	"11"	"27"	"625"	"Nil"
"21"	"163"	"16"	"9"	"89"	"451"	"8"	"3"	"1"	"2"	"1"	"2"	"0"	"42"	"4"	"11"	"30"	"6"	"13"	"672"	"Nil"
"22"	"163"	"17"	"4"	"179"	"92"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"12"	"0"	"0"	"16"	"12"	"4"	"323"	"Nil"
"23"	"163"	"18"	"3"	"23"	"202"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"14"	"0"	"1"	"250"	"Nil"
"24"	"163"	"19"	"7"	"131"	"247"	"6"	"2"	"1"	"1"	"4"	"1"	"2"	"29"	"3"	"4"	"17"	"4"	"4"	"463"	"Nil"
