"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[See rule 56 C (2) (C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 30- PATNA SAHIB  PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of electors in Assembly Constituency/Segment:-208005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(To be used both for Parliamentary and Assembly election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"ROUND  1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 185- FATUHA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"
"10"	""	"Vijay Kumar"	"Shatrughan Sinha"	"Shekhar Suman"	"On Masumi"	"Dr. Diwaker Tejaswi"	"Ram Narayan Rai"	"Hassan Faizi Hashmi"	"Anjani Kumar"	"Kumar Rajiv"	"Deepak Kumar Singh"	"Pankaj Kumar Sharma"	"Pramod Kumar Gupta"	"Ram Bhajan Singh Nishad"	"Vidhan Chandra Rana"	"Sanjay Verma"	"Hemant Kumar Singh"	""	""	""	""
"11"	"1"	"175"	"120"	"28"	"1"	"1"	"2"	"1"	"3"	"1"	"0"	"1"	"1"	"0"	"1"	"0"	"3"	"338"	"0"	"338"	"0"
"12"	"2"	"36"	"99"	"14"	"0"	"0"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"159"	"0"	"159"	"0"
"13"	"3"	"266"	"83"	"7"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"1"	"4"	"366"	"0"	"366"	"0"
"14"	"4"	"87"	"276"	"19"	"5"	"2"	"4"	"1"	"0"	"0"	"0"	"4"	"1"	"1"	"1"	"7"	"6"	"414"	"0"	"414"	"0"
"15"	"5"	"35"	"222"	"9"	"3"	"0"	"2"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"274"	"0"	"274"	"0"
"16"	"6"	"250"	"30"	"3"	"3"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"291"	"0"	"291"	"0"
"17"	"7"	"188"	"115"	"15"	"1"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"0"	"0"	"2"	"0"	"2"	"326"	"0"	"326"	"0"
"18"	"8"	"169"	"79"	"6"	"0"	"0"	"7"	"2"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"3"	"4"	"273"	"0"	"273"	"0"
"19"	"9"	"228"	"107"	"10"	"1"	"5"	"10"	"6"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"1"	"5"	"377"	"0"	"377"	"0"
"20"	"10"	"159"	"30"	"5"	"3"	"0"	"4"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"2"	"207"	"0"	"207"	"0"
"21"	"11"	"365"	"30"	"14"	"1"	"0"	"1"	"1"	"1"	"1"	"2"	"3"	"1"	"2"	"1"	"2"	"18"	"443"	"0"	"443"	"0"
"22"	"12"	"424"	"13"	"7"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"449"	"0"	"449"	"0"
"23"	"13"	"343"	"86"	"3"	"0"	"2"	"12"	"2"	"0"	"1"	"1"	"2"	"0"	"0"	"0"	"5"	"6"	"463"	"0"	"463"	"0"
"24"	"14"	"197"	"170"	"6"	"2"	"2"	"1"	"0"	"0"	"1"	"2"	"1"	"1"	"0"	"0"	"3"	"2"	"388"	"0"	"388"	"0"
"25"	"Total :-"	"2922"	"1460"	"146"	"21"	"13"	"53"	"15"	"7"	"9"	"8"	"17"	"4"	"6"	"5"	"24"	"58"	"4768"	"0"	"4768"	"0"
"26"	"Till Last Total :-"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"27"	"Grand Total
:-"	"2922"	"1460"	"146"	"21"	"13"	"53"	"15"	"7"	"9"	"8"	"17"	"4"	"6"	"5"	"24"	"58"	"4768"	"0"	"4768"	"0"
"28"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"PATNA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"Date :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"16th May 2009"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"ARO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"[FORM 20]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"[See rule 56 C (2) (C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 30- PATNA SAHIB  PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"37"	"Total No. of electors in Assembly Constituency/Segment:-208005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	"(To be used both for Parliamentary and Assembly election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	"ROUND  2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"41"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 185- FATUHA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"42"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"
"43"	""	"Vijay Kumar"	"Shatrughan Sinha"	"Shekhar Suman"	"On Masumi"	"Dr. Diwaker Tejaswi"	"Ram Narayan Rai"	"Hassan Faizi Hashmi"	"Anjani Kumar"	"Kumar Rajiv"	"Deepak Kumar Singh"	"Pankaj Kumar Sharma"	"Pramod Kumar Gupta"	"Ram Bhajan Singh Nishad"	"Vidhan Chandra Rana"	"Sanjay Verma"	"Hemant Kumar Singh"	""	""	""	""
"44"	"15"	"115"	"307"	"19"	"2"	"0"	"9"	"0"	"0"	"2"	"0"	"2"	"0"	"2"	"3"	"4"	"10"	"475"	"0"	"475"	"0"
