"X36...Parliamentary..Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"
"1"	"Round 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"216- Jehanabad Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Name of Candidate"	"Dr. Arun Kumar"	"Jagdish Sharma"	"Ramadhar Sharma"	"Surendra Prasad Yadav"	"Ayasha Khatun"	"Prof. Jai Ram Prasad Singh"	"Tara Gupta"	"Mahanand Prasad"	"Ramasray Prasad Singh"	"Md. Shahabubin Jahan"	"Shravan kumar"	"Sadhu Sinha"	"Syed Akber Imam"	"Ajay Kumar Verma"	"Abhay Kumar Anil"	"Dr. Arbind Kumar"	"Arvind Prasad Singh"	"Upendra Prasad"	"Jagdish Yadav"	"Prikshit Singh"	"Prabhat Kumar Ranjan"	"Ranjit Sharma"	"Rakeshwar Kishor"	"Siya Ram Prasad"	"Sumirak Singh"	"Total Valid Votes"	"No. of Reject ed votes"	"Total"	"No. of tender ed votes"
"4"	"Booth No."	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"
"5"	"1"	"0"	"2"	"1"	"217"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	""	"230"	""
"6"	"2"	"143"	"60"	"0"	"2"	"0"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"2"	"1"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"218"	""	"218"	""
"7"	"3"	"14"	"81"	"0"	"12"	"1"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"112"	""	"112"	""
"8"	"4"	"0"	"10"	"3"	"198"	"3"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"8"	"3"	"0"	"0"	"3"	"1"	"0"	"0"	"0"	"2"	"234"	""	"234"	""
"9"	"5"	"13"	"190"	"15"	"193"	"11"	"3"	"2"	"35"	"3"	"2"	"3"	"2"	"2"	"4"	"9"	"20"	"23"	"9"	"6"	"6"	"1"	"2"	"0"	"5"	"10"	"569"	""	"569"	""
"10"	"6"	"0"	"6"	"0"	"151"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"161"	""	"161"	""
"11"	"7"	"16"	"90"	"186"	"203"	"6"	"4"	"2"	"4"	"3"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"520"	""	"520"	""
"12"	"8"	"15"	"439"	"12"	"7"	"0"	"2"	"1"	"2"	"0"	"1"	"1"	"0"	"2"	"0"	"3"	"7"	"1"	"3"	"3"	"0"	"1"	"0"	"1"	"0"	"0"	"501"	""	"501"	""
"13"	"9"	"9"	"63"	"3"	"117"	"4"	"5"	"3"	"91"	"9"	"4"	"3"	"1"	"9"	"5"	"4"	"24"	"6"	"6"	"2"	"14"	"1"	"1"	"2"	"6"	"11"	"403"	""	"403"	""
"14"	"10"	"31"	"43"	"46"	"357"	"8"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"5"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"500"	""	"500"	""
"15"	"11"	"7"	"141"	"1"	"96"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"12"	"4"	"2"	"1"	"3"	"1"	"1"	"0"	"0"	"0"	"273"	""	"273"	""
"16"	"12"	"11"	"108"	"6"	"259"	"7"	"2"	"0"	"7"	"1"	"1"	"5"	"5"	"3"	"2"	"1"	"41"	"9"	"8"	"6"	"12"	"3"	"1"	"3"	"2"	"5"	"508"	""	"508"	""
"17"	"13"	"59"	"404"	"55"	"20"	"2"	"3"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"17"	"3"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"0"	"578"	""	"578"	""
"18"	"14"	"8"	"238"	"1"	"147"	"5"	"3"	"0"	"13"	"0"	"0"	"1"	"0"	"2"	"2"	"1"	"9"	"1"	"3"	"4"	"1"	"4"	"1"	"1"	"2"	"1"	"448"	""	"448"	""
"19"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"20"	"Total"	"326"	"1875"	"329"	"1979"	"51"	"25"	"14"	"167"	"16"	"9"	"13"	"9"	"21"	"15"	"21"	"155"	"52"	"32"	"26"	"43"	"14"	"8"	"9"	"16"	"30"	"5255"	""	"5255"	""
"21"	"Signature of ARO                                                                                          Signature of RO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"22"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"Round 2                                                                                                                                                216- Jehanabad Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
