"PC.No."	"AC.No."	"BOOTH.No."	"BOOTH.EXT"	"ARCHN.A.CHAND.RA"	"NIKHIL.KUMAR"	"SHAKIL.AHMAD.KHAN"	"SUSHIL.KUMAR.SINGH"	"ANIL.KUMAR.SINGH"	"AMERIK.A.MAHTO"	"RAM.KUMAR.MEHTA"	"VIJAY.PASWA.N"	"ASLAM.ANSARI"	"INDRA.DEO.RAM"	"UDAY.PASWAN"	"PUNA.DAS"	"RANJEET.KUMAR"	"RAJEND.RA.YADAV"	"RAMSWA.RUP.PRASAD.YADAV"	"SANTOS.H.KUMAR"	"TOTAL"
"1"	37	231	1	""	7	147	6	188	1	0	0	0	0	0	0	1	3	0	0	0	353
"2"	37	231	2	""	81	29	127	102	6	2	1	6	0	6	3	12	9	9	14	27	434
"3"	37	231	3	""	1	190	3	193	0	0	0	0	0	0	0	1	0	0	0	0	388
"4"	37	231	4	""	0	3	2	616	1	0	0	0	0	0	0	0	0	0	0	0	622
"5"	37	231	5	""	0	0	4	401	0	0	0	0	0	0	0	0	0	0	0	0	405
"6"	37	231	6	""	9	15	286	139	4	12	1	0	0	0	1	2	2	1	3	5	480
"7"	37	231	7	""	66	10	284	108	0	1	0	0	0	1	2	0	0	4	0	0	476
"8"	37	231	8	""	4	4	0	606	1	0	0	0	0	0	0	0	0	0	0	0	615
"9"	37	231	9	""	13	17	272	74	5	3	5	7	1	4	3	7	4	6	7	13	441
"10"	37	231	10	""	62	7	78	12	1	0	0	0	2	0	1	0	0	0	0	4	167
"11"	37	231	11	""	11	3	351	96	2	8	1	5	1	0	1	2	1	0	1	1	484
"12"	37	231	12	""	18	3	282	75	0	4	2	3	2	0	1	0	5	4	2	6	407
"13"	37	231	13	""	1	5	161	9	0	0	0	1	0	0	0	0	0	2	0	1	180
"14"	37	231	14	""	3	12	495	80	1	2	0	1	1	0	0	2	3	1	0	0	601
"15"	37	231	15	""	10	14	205	169	4	6	3	1	2	1	1	22	3	6	4	8	459
"16"	37	231	16	""	4	4	73	35	0	2	1	2	0	0	1	0	1	1	0	0	124
"17"	37	231	17	""	3	2	879	13	0	0	0	0	0	0	0	0	0	0	0	0	897
"18"	37	231	18	""	1	6	157	156	3	6	2	1	0	0	0	6	0	1	3	2	344
"19"	37	231	19	""	31	41	37	394	2	0	0	0	0	1	0	1	6	0	0	2	515
"20"	37	231	20	""	32	17	98	122	1	1	4	0	1	1	2	2	2	2	0	6	291
"21"	37	231	21	""	1	5	188	12	1	0	0	0	0	0	0	0	1	2	0	2	212
"22"	37	231	22	""	1	1	216	13	0	0	2	0	0	0	0	1	0	0	0	0	234
"23"	37	231	23	""	2	4	717	1	0	0	0	0	0	0	0	0	0	1	1	0	726
"24"	37	231	24	""	0	7	395	3	0	0	0	0	0	0	0	0	0	0	0	0	405
"25"	37	231	25	""	16	1	226	478	1	0	0	0	0	0	0	2	0	0	0	0	724
"26"	37	231	26	""	42	26	18	658	3	0	3	1	0	0	3	4	3	0	0	2	763
"27"	37	231	27	""	4	11	114	302	3	2	0	1	1	1	1	7	3	2	0	9	461
"28"	37	231	28	""	4	31	23	579	1	2	1	1	1	0	2	1	5	1	0	2	654
"29"	37	231	29	""	24	14	100	134	4	3	0	1	0	0	1	2	2	2	1	5	293
"30"	37	231	30	""	30	13	133	66	2	3	2	4	0	2	1	3	3	3	1	2	268
"31"	37	231	31	""	9	9	200	79	6	5	3	1	1	2	2	5	14	15	4	9	364
"32"	37	231	32	""	0	22	123	344	1	0	1	0	0	0	0	1	1	3	0	2	498
