"Name.of.Candidate"	"Dr..Arun.Kumar"	"Jagdish.Sharma"	"Ramadhar.Sharma"	"Surendra.Prasad.Yadav"	"Ayasha.Khatun"	"Prof..Jai.Ram.Prasad.Singh"	"Tara.Gupta"	"Mahanand.Prasad"	"Ramasray.Prasad.Singh"	"Md..Shahabubin.Jahan"	"Shravan.kumar"	"Sadhu.Sinha"	"Syed.Akber.Imam"	"Ajay.Kumar.Verma"	"Abhay.Kumar.Anil"	"Dr..Arbind.Kumar"	"Arvind.Prasad.Singh"	"Upendra.Prasad"	"Jagdish.Yadav"	"Prikshit.Singh"	"Prabhat.Kumar.Ranjan"	"Ranjit.Sharma"	"Rakeshwar.Kishor"	"Siya.Ram.Prasad"	"Sumirak.Singh"	"Total.Valid.Votes"	"No..of.Reject.ed.votes"	"Total"	"No..of.tender.ed.votes"
"1"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"2"	"Round 1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"3"	"1"	25	787	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	815	NA	815	NA
"4"	"2"	6	156	36	122	1	2	1	43	1	1	0	0	0	0	0	0	0	0	1	1	1	0	1	7	1	381	NA	381	NA
"5"	"3"	17	246	1	28	2	1	0	104	5	4	1	0	3	1	2	6	4	8	1	0	0	0	0	1	1	436	NA	436	NA
"6"	"4"	15	61	1	218	4	2	0	11	1	0	0	0	0	2	0	0	1	1	1	1	0	0	1	0	0	320	NA	320	NA
"7"	"5"	12	167	18	34	2	2	3	33	1	2	3	0	0	0	0	4	1	2	2	1	2	1	2	0	1	293	NA	293	NA
"8"	"6"	24	232	19	22	0	3	1	2	2	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	309	NA	309	NA
"9"	"7"	3	527	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	533	NA	533	NA
"10"	"8"	3	424	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	428	NA	428	NA
"11"	"9"	59	145	8	149	4	3	1	13	3	1	1	4	2	6	9	16	7	2	2	3	0	1	3	4	4	450	NA	450	NA
"12"	"10"	12	90	28	332	4	0	2	6	4	1	1	0	1	1	0	4	2	0	0	0	0	1	1	0	0	490	NA	490	NA
"13"	"11"	35	234	18	133	5	3	1	3	0	0	1	1	4	0	4	10	7	8	5	11	0	0	0	0	3	486	NA	486	NA
"14"	"12"	53	219	6	119	6	2	0	7	1	1	3	1	4	1	0	9	10	9	5	7	2	0	3	2	1	471	NA	471	NA
"15"	"13"	22	185	0	76	3	2	0	5	0	1	1	1	2	2	4	4	16	11	8	4	2	0	2	1	6	358	NA	358	NA
"16"	"14"	6	188	22	163	1	0	0	36	0	0	0	0	0	3	0	2	1	0	1	0	2	0	1	2	1	429	NA	429	NA
"17"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"18"	"Total"	292	3661	159	1399	32	20	9	263	18	11	11	7	16	16	20	57	49	42	27	28	9	3	14	17	19	6199	NA	6199	NA
"19"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"20"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"22"	"Round 2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"23"	"15"	13	201	8	136	1	1	0	20	0	0	2	1	1	2	2	2	1	3	3	1	1	0	0	0	1	400	NA	400	NA
"24"	"16"	9	136	24	31	3	3	0	3	0	0	0	2	2	1	5	10	0	6	0	1	1	2	0	1	4	244	NA	244	NA
"25"	"17"	9	89	7	171	12	4	2	15	2	4	3	1	15	4	4	13	12	3	4	6	2	2	1	2	4	391	NA	391	NA
"26"	"18"	16	32	9	294	8	3	3	4	3	0	0	1	3	0	0	3	9	0	1	1	1	1	0	0	0	392	NA	392	NA
"27"	"19"	6	212	28	123	1	0	1	23	1	0	1	1	1	3	1	3	0	0	1	0	0	1	1	0	0	408	NA	408	NA
"28"	"20"	9	224	16	149	10	6	3	132	6	0	1	3	4	1	5	13	0	0	0	2	0	1	0	0	1	586	NA	586	NA
"29"	"21"	28	128	3	73	0	1	0	18	0	0	1	0	0	0	0	4	1	0	1	2	0	0	1	0	0	261	NA	261	NA
"30"	"22"	19	21	1	195	3	1	0	38	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	282	NA	282	NA
"31"	"23"	3	13	0	194	2	0	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	221	NA	221	NA
"32"	"24"	32	241	29	180	6	12	3	45	14	0	6	8	3	7	6	8	9	3	5	3	0	0	1	0	0	621	NA	621	NA
"33"	"25"	0	1	0	778	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	786	NA	786	NA
