"TOTAL.NO.OF.ELECTORS.IN.88..GAIGHAT.ASSEMBLY.CONSTITUENCY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X234814"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"
"1"	"PS NO"	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR HUSSAN"	""	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"2"	"1"	"137"	"230"	"84"	"17"	"3"	"1"	"2"	"0"	"7"	"3"	"1"	"1"	"1"	"3"	"4"	"5"	"3"	"8"	"1"	"5"	"0"	"1"	"0"	"2"	""	"519"	""	""
"3"	"2"	"71"	"20"	"181"	"5"	"0"	"0"	"0"	"1"	"1"	"8"	"0"	"0"	"2"	"2"	"1"	"3"	"3"	"43"	"2"	"9"	"0"	"0"	"0"	"0"	""	"352"	""	""
"4"	"3"	"192"	"75"	"89"	"7"	"1"	"2"	"4"	"3"	"1"	"0"	"0"	"0"	"1"	"6"	"2"	"3"	"6"	"5"	"2"	"7"	"0"	"1"	"2"	"2"	""	"411"	""	""
"5"	"4"	"67"	"32"	"147"	"38"	"1"	"1"	"0"	"1"	"0"	"3"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"12"	"0"	"5"	"0"	"1"	"0"	"0"	""	"313"	""	""
"6"	"5"	"122"	"218"	"75"	"8"	"3"	"6"	"7"	"6"	"8"	"13"	"4"	"3"	"6"	"11"	"6"	"16"	"1"	"7"	"4"	"16"	"0"	"2"	"2"	"3"	""	"547"	""	""
"7"	"6"	"189"	"51"	"76"	"5"	"2"	"2"	"1"	"2"	"8"	"5"	"0"	"1"	"1"	"3"	"6"	"5"	"9"	"16"	"6"	"26"	"1"	"1"	"5"	"6"	""	"427"	""	""
"8"	"7"	"226"	"73"	"37"	"7"	"4"	"4"	"2"	"3"	"3"	"2"	"0"	"3"	"3"	"5"	"2"	"8"	"4"	"5"	"2"	"81"	"2"	"2"	"2"	"2"	""	"482"	""	""
"9"	"8"	"38"	"56"	"127"	"28"	"6"	"4"	"3"	"2"	"1"	"11"	"0"	"1"	"6"	"7"	"2"	"8"	"6"	"42"	"12"	"4"	"3"	"2"	"4"	"8"	""	"381"	""	""
"10"	"9"	"34"	"51"	"81"	"59"	"3"	"0"	"3"	"0"	"3"	"12"	"5"	"3"	"1"	"7"	"5"	"11"	"1"	"40"	"5"	"1"	"0"	"0"	"2"	"3"	""	"330"	""	""
"11"	"10"	"114"	"65"	"83"	"10"	"3"	"0"	"2"	"1"	"5"	"2"	"3"	"1"	"10"	"16"	"18"	"24"	"9"	"6"	"1"	"4"	"2"	"3"	"2"	"7"	""	"391"	""	""
"12"	"11"	"123"	"125"	"81"	"5"	"1"	"3"	"2"	"2"	"2"	"3"	"0"	"2"	"1"	"4"	"4"	"3"	"10"	"20"	"4"	"2"	"1"	"0"	"2"	"2"	""	"402"	""	""
"13"	"12"	"63"	"5"	"367"	"4"	"1"	"1"	"0"	"2"	"1"	"1"	"1"	"1"	"2"	"9"	"2"	"15"	"2"	"13"	"3"	"2"	"0"	"0"	"1"	"3"	""	"499"	""	""
"14"	"13"	"223"	"27"	"147"	"17"	"2"	"2"	"4"	"1"	"1"	"1"	"1"	"1"	"2"	"4"	"0"	"5"	"4"	"4"	"2"	"6"	"1"	"1"	"1"	"2"	""	"459"	""	""
"15"	"14"	"96"	"84"	"50"	"4"	"4"	"4"	"1"	"5"	"5"	"5"	"5"	"1"	"2"	"8"	"10"	"13"	"8"	"7"	"1"	"15"	"0"	"2"	"7"	"5"	""	"342"	""	""
"16"	"15"	"56"	"37"	"172"	"3"	"3"	"2"	"2"	"2"	"4"	"1"	"2"	"2"	"3"	"9"	"3"	"7"	"5"	"4"	"6"	"36"	"4"	"1"	"1"	"2"	""	"367"	""	""
"17"	"16"	"103"	"58"	"136"	"88"	"2"	"4"	"2"	"1"	"3"	"6"	"2"	"5"	"6"	"17"	"13"	"13"	"10"	"19"	"2"	"12"	"2"	"1"	"1"	"4"	""	"510"	""	""
"18"	"17"	"73"	"18"	"36"	"35"	"1"	"0"	"0"	"1"	"0"	"2"	"0"	"1"	"1"	"5"	"4"	"14"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"4"	""	"200"	""	""
"19"	"18"	"153"	"51"	"108"	"46"	"3"	"5"	"3"	"6"	"6"	"8"	"1"	"1"	"8"	"16"	"13"	"23"	"17"	"16"	"4"	"39"	"2"	"1"	"6"	"4"	""	"540"	""	""
"20"	"19"	"9"	"12"	"57"	"5"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"2"	"0"	"3"	"2"	"5"	"1"	"3"	"118"	"7"	"3"	"4"	"8"	""	"243"	""	""
"21"	"20"	"59"	"175"	"43"	"33"	"3"	"3"	"7"	"2"	"4"	"11"	"6"	"6"	"4"	"9"	"18"	"23"	"11"	"26"	"4"	"60"	"6"	"4"	"5"	"20"	""	"542"	""	""
"22"	"21"	"99"	"142"	"84"	"7"	"3"	"3"	"3"	"3"	"4"	"8"	"4"	"5"	"3"	"10"	"9"	"7"	"11"	"33"	"9"	"133"	"8"	"5"	"3"	"6"	""	"602"	""	""
"23"	"22"	"124"	"13"	"59"	"1"	"0"	"0"	"0"	"3"	"0"	"2"	"0"	"0"	"0"	"4"	"2"	"4"	"4"	"107"	"1"	"38"	"0"	"0"	"0"	"2"	""	"364"	""	""
"24"	"TOTAL NO OF ELECTORS IN 88- GAIGHAT ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	"234814"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"PS NO"	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR HUSSAN"	""	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"26"	"23"	"95"	"123"	"63"	"2"	"0"	"3"	"5"	"3"	"6"	"5"	"0"	"2"	"2"	"5"	"2"	"2"	"23"	"24"	"4"	"19"	"1"	"5"	"6"	"16"	""	"416"	""	""
"27"	"24"	"67"	"96"	"46"	"5"	"1"	"3"	"1"	"2"	"2"	"6"	"1"	"0"	"2"	"5"	"4"	"9"	"1"	"6"	"3"	"15"	"0"	"3"	"1"	"1"	""	"280"	""	""
"28"	"25"	"62"	"245"	"45"	"4"	"4"	"1"	"1"	"0"	"2"	"0"	"2"	"2"	"0"	"1"	"9"	"5"	"5"	"13"	"3"	"51"	"0"	"1"	"1"	"2"	""	"459"	""	""
"29"	"26"	"74"	"67"	"162"	"4"	"1"	"1"	"3"	"1"	"0"	"1"	"3"	"1"	"0"	"1"	"8"	"10"	"1"	"2"	"1"	"33"	"1"	"1"	"1"	"6"	""	"383"	""	""
"30"	"27"	"77"	"79"	"68"	"4"	"4"	"2"	"1"	"3"	"3"	"0"	"1"	"1"	"2"	"4"	"11"	"10"	"2"	"20"	"2"	"86"	"0"	"1"	"2"	"1"	""	"384"	""	""
"31"	"28"	"38"	"176"	"59"	"6"	"4"	"4"	"8"	"5"	"1"	"12"	"8"	"6"	"5"	"7"	"14"	"24"	"6"	"23"	"3"	"95"	"2"	"4"	"4"	"8"	""	"522"	""	""
"32"	"29"	"48"	"41"	"115"	"6"	"2"	"1"	"2"	"2"	"2"	"1"	"0"	"5"	"6"	"3"	"9"	"9"	"4"	"10"	"1"	"88"	"0"	"1"	"0"	"5"	""	"361"	""	""
"33"	"30"	"84"	"51"	"104"	"4"	"3"	"2"	"1"	"3"	"3"	"13"	"1"	"3"	"0"	"5"	"14"	"2"	"1"	"20"	"2"	"60"	"1"	"2"	"2"	"3"	""	"384"	""	""
"34"	"31"	"31"	"276"	"20"	"6"	"1"	"10"	"2"	"4"	"2"	"7"	"0"	"2"	"2"	"4"	"10"	"4"	"11"	"24"	"3"	"19"	"2"	"1"	"3"	"2"	""	"446"	""	""
"35"	"32"	"9"	"57"	"83"	"4"	"3"	"1"	"2"	"1"	"3"	"1"	"0"	"1"	"1"	"4"	"6"	"14"	"0"	"1"	"1"	"28"	"5"	"0"	"0"	"2"	""	"227"	""	""
"36"	"33"	"36"	"252"	"60"	"12"	"7"	"6"	"9"	"7"	"2"	"12"	"5"	"3"	"5"	"11"	"25"	"26"	"8"	"13"	"2"	"14"	"7"	"3"	"5"	"9"	""	"539"	""	""
"37"	"34"	"100"	"110"	"54"	"5"	"2"	"5"	"2"	"3"	"1"	"3"	"1"	"7"	"2"	"9"	"11"	"9"	"21"	"24"	"17"	"135"	"5"	"7"	"8"	"11"	""	"552"	""	""
"38"	"35"	"23"	"344"	"91"	"6"	"3"	"2"	"3"	"3"	"5"	"7"	"6"	"2"	"9"	"12"	"31"	"19"	"3"	"15"	"6"	"29"	"3"	"3"	"3"	"1"	""	"629"	""	""
"39"	"36"	"44"	"72"	"149"	"9"	"1"	"3"	"3"	"0"	"1"	"11"	"1"	"2"	"0"	"3"	"6"	"8"	"6"	"55"	"2"	"33"	"0"	"1"	"1"	"3"	""	"414"	""	""
"40"	"37"	"24"	"46"	"39"	"15"	"1"	"1"	"2"	"1"	"0"	"5"	"1"	"0"	"0"	"2"	"0"	"0"	"4"	"20"	"1"	"15"	"0"	"1"	"0"	"2"	""	"180"	""	""
"41"	"38"	"342"	"48"	"104"	"1"	"0"	"0"	"1"	"0"	"4"	"5"	"0"	"1"	"0"	"0"	"0"	"3"	"7"	"74"	"1"	"4"	"0"	"0"	"0"	"1"	""	"596"	""	""
"42"	"39"	"61"	"101"	"10"	"4"	"0"	"2"	"1"	"2"	"2"	"2"	"2"	"3"	"2"	"0"	"3"	"6"	"5"	"2"	"1"	"7"	"1"	"0"	"1"	"2"	""	"220"	""	""
"43"	"40"	"271"	"15"	"47"	"2"	"2"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"1"	"2"	"7"	"8"	"0"	"7"	"0"	"1"	"2"	"2"	""	"371"	""	""
"44"	"41"	"75"	"3"	"26"	"1"	"0"	"0"	"1"	"0"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"124"	"2"	"14"	"0"	"0"	"0"	"2"	""	"257"	""	""
"45"	"42"	"44"	"135"	"59"	"2"	"0"	"2"	"1"	"2"	"1"	"6"	"0"	"2"	"2"	"1"	"10"	"7"	"8"	"65"	"2"	"6"	"2"	"0"	"2"	"1"	""	"360"	""	""
"46"	"43"	"159"	"5"	"39"	"23"	"2"	"2"	"1"	"0"	"4"	"11"	"1"	"1"	"0"	"3"	"1"	"7"	"9"	"49"	"3"	"7"	"1"	"1"	"3"	"2"	""	"334"	""	""
"47"	"44"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	""
"48"	"TOTAL NO OF ELECTORS IN 88- GAIGHAT ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	"234814"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"PS NO"	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR HUSSAN"	""	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"50"	"45"	"25"	"231"	"29"	"14"	"3"	"4"	"6"	"4"	"14"	"44"	"4"	"3"	"8"	"8"	"28"	"21"	"2"	"136"	"3"	"2"	"1"	"0"	"2"	"5"	""	"597"	""	""
"51"	"46"	"6"	"101"	"6"	"25"	"1"	"5"	"5"	"2"	"11"	"26"	"3"	"1"	"7"	"8"	"6"	"15"	"2"	"51"	"1"	"2"	"2"	"2"	"3"	"12"	""	"303"	""	""
