"ANNEXURE..XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"FORM - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET [SEE RULE 56 (7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Name of the Assembly  :  145 S.Kamal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"5"	""	"Parveen Amanullah a"	"Rakesh Singh"	"Ram Prawesh Kumar"	"Vidyanand Yadav"	"Shree Narayan Yadav"	"Md. Anwar Khan"	"Devendra Prasad"	"Es.Em.Nur Alam"	"Mahendra Rajak"	"Shamshad Alam"	"Munilal Singh"	"Md. Samim Akhtar"	""	""	""	""
"6"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"7"	"1"	"83"	"11"	"5"	"21"	"511"	"9"	"11"	"8"	"6"	"7"	"4"	"20"	"696"	"0"	"696"	"0"
"8"	"2"	"155"	"21"	"11"	"16"	"183"	"1"	"10"	"18"	"2"	"4"	"9"	"22"	"452"	"0"	"452"	"0"
"9"	"3"	"220"	"34"	"4"	"23"	"342"	"9"	"6"	"13"	"4"	"4"	"4"	"11"	"674"	"0"	"674"	"0"
"10"	"4"	"134"	"4"	"2"	"5"	"229"	"3"	"6"	"6"	"4"	"3"	"6"	"13"	"415"	"0"	"415"	"0"
"11"	"5"	"154"	"19"	"2"	"8"	"150"	"4"	"3"	"3"	"2"	"1"	"3"	"12"	"361"	"0"	"361"	"0"
"12"	"6"	"121"	"22"	"6"	"8"	"618"	"28"	"19"	"10"	"8"	"4"	"6"	"13"	"863"	"0"	"863"	"0"
"13"	"7"	"544"	"22"	"5"	"4"	"86"	"4"	"6"	"7"	"4"	"5"	"11"	"45"	"743"	"0"	"743"	"0"
"14"	"8"	"43"	"2"	"2"	"3"	"297"	"5"	"9"	"4"	"0"	"2"	"1"	"10"	"378"	"0"	"378"	"0"
"15"	"9"	"209"	"8"	"3"	"15"	"204"	"5"	"7"	"29"	"1"	"0"	"0"	"10"	"491"	"0"	"491"	"0"
"16"	"9A"	"201"	"10"	"2"	"7"	"169"	"5"	"3"	"48"	"3"	"0"	"1"	"7"	"456"	"0"	"456"	"0"
"17"	"10"	"454"	"22"	"57"	"13"	"99"	"8"	"3"	"43"	"13"	"17"	"12"	"29"	"770"	"0"	"770"	"0"
"18"	"11"	"166"	"28"	"1"	"9"	"223"	"11"	"14"	"14"	"1"	"6"	"2"	"20"	"495"	"0"	"495"	"0"
"19"	"12"	"332"	"34"	"0"	"15"	"139"	"6"	"6"	"46"	"6"	"4"	"1"	"7"	"596"	"0"	"596"	"0"
"20"	"13"	"197"	"36"	"3"	"3"	"94"	"3"	"4"	"9"	"2"	"2"	"1"	"5"	"359"	"0"	"359"	"0"
"21"	"14"	"654"	"49"	"4"	"6"	"65"	"2"	"2"	"9"	"1"	"4"	"11"	"41"	"848"	"0"	"848"	"0"
"22"	"15"	"206"	"23"	"9"	"18"	"345"	"10"	"25"	"11"	"6"	"4"	"9"	"40"	"706"	"0"	"706"	"0"
"23"	"16"	"273"	"68"	"1"	"12"	"56"	"1"	"5"	"10"	"0"	"2"	"4"	"8"	"440"	"0"	"440"	"0"
"24"	"17"	"278"	"40"	"2"	"5"	"127"	"1"	"10"	"7"	"4"	"1"	"4"	"15"	"494"	"0"	"494"	"0"
"25"	"18"	"314"	"37"	"1"	"6"	"41"	"1"	"6"	"23"	"1"	"9"	"8"	"18"	"465"	"0"	"465"	"0"
"26"	"18A"	"336"	"34"	"4"	"16"	"26"	"1"	"1"	"8"	"1"	"7"	"3"	"19"	"456"	"0"	"456"	"0"
"27"	"19"	"387"	"12"	"7"	"15"	"195"	"2"	"9"	"29"	"2"	"8"	"10"	"42"	"718"	"0"	"718"	"0"
"28"	"20"	"152"	"35"	"0"	"6"	"156"	"4"	"3"	"8"	"1"	"4"	"9"	"19"	"397"	"0"	"397"	"0"
"29"	"21"	"234"	"57"	"2"	"12"	"134"	"5"	"4"	"11"	"2"	"3"	"4"	"9"	"477"	"0"	"477"	"0"
"30"	"22"	"488"	"24"	"1"	"6"	"113"	"7"	"8"	"4"	"2"	"5"	"4"	"18"	"680"	"0"	"680"	"0"
"31"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"32"	""	"Parveen Amanullah a"	"Rakesh Singh"	"Ram Prawesh Kumar"	"Vidyanand Yadav"	"Shree Narayan Yadav"	"Md. Anwar Khan"	"Devendra Prasad"	"Es.Em.Nur Alam"	"Mahendra Rajak"	"Shamshad Alam"	"Munilal Singh"	"Md. Samim Akhtar"	""	""	""	""
"33"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"34"	"23"	"400"	"96"	"8"	"8"	"206"	"5"	"5"	"12"	"5"	"6"	"11"	"37"	"799"	"0"	"799"	"0"
"35"	"24"	"310"	"51"	"2"	"16"	"295"	"7"	"15"	"16"	"9"	"2"	"20"	"39"	"782"	"0"	"782"	"0"
"36"	"25"	"286"	"5"	"5"	"12"	"353"	"12"	"7"	"5"	"5"	"3"	"4"	"25"	"722"	"0"	"722"	"0"
"37"	"26"	"289"	"22"	"12"	"15"	"519"	"7"	"10"	"3"	"4"	"0"	"6"	"16"	"903"	"0"	"903"	"0"
"38"	"27"	"272"	"50"	"3"	"4"	"47"	"2"	"7"	"6"	"0"	"2"	"3"	"10"	"406"	"0"	"406"	"0"
"39"	"27A"	"380"	"48"	"1"	"11"	"50"	"5"	"5"	"9"	"2"	"6"	"10"	"33"	"560"	"0"	"560"	"0"
"40"	"28"	"336"	"74"	"1"	"8"	"96"	"1"	"1"	"1"	"0"	"2"	"4"	"31"	"555"	"0"	"555"	"0"
"41"	"28A"	"276"	"36"	"2"	"4"	"206"	"7"	"4"	"9"	"1"	"2"	"4"	"16"	"567"	"0"	"567"	"0"
"42"	"29"	"409"	"67"	"4"	"8"	"88"	"4"	"9"	"16"	"3"	"4"	"3"	"19"	"634"	"0"	"634"	"0"
"43"	"30"	"261"	"28"	"4"	"17"	"17"	"34"	"3"	"0"	"3"	"2"	"1"	"3"	"373"	"0"	"373"	"0"
"44"	"31"	"270"	"71"	"1"	"6"	"34"	"36"	"2"	"2"	"2"	"1"	"0"	"19"	"444"	"0"	"444"	"0"
"45"	"32"	"290"	"75"	"6"	"9"	"105"	"5"	"3"	"5"	"1"	"3"	"2"	"14"	"518"	"0"	"518"	"0"
"46"	"32A"	"283"	"75"	"5"	"14"	"155"	"6"	"5"	"6"	"6"	"5"	"4"	"17"	"581"	"0"	"581"	"0"
"47"	"33"	"572"	"166"	"6"	"11"	"104"	"1"	"7"	"3"	"6"	"4"	"4"	"12"	"896"	"0"	"896"	"0"
"48"	"34"	"350"	"42"	"1"	"10"	"411"	"7"	"5"	"6"	"8"	"1"	"4"	"22"	"867"	"0"	"867"	"0"
"49"	"35"	"524"	"110"	"10"	"7"	"78"	"6"	"10"	"12"	"2"	"8"	"9"	"16"	"792"	"0"	"792"	"0"
"50"	"36"	"214"	"40"	"8"	"25"	"84"	"3"	"10"	"123"	"15"	"11"	"22"	"24"	"579"	"0"	"579"	"0"
"51"	"37"	"269"	"30"	"0"	"10"	"83"	"4"	"5"	"55"	"0"	"3"	"2"	"5"	"466"	"0"	"466"	"0"
"52"	"37A"	"294"	"34"	"5"	"11"	"84"	"7"	"3"	"46"	"1"	"0"	"1"	"12"	"498"	"0"	"498"	"0"
"53"	"38"	"419"	"96"	"5"	"7"	"65"	"4"	"6"	"3"	"2"	"4"	"4"	"36"	"651"	"0"	"651"	"0"
"54"	"39"	"391"	"159"	"4"	"3"	"37"	"1"	"1"	"5"	"1"	"2"	"1"	"8"	"613"	"0"	"613"	"0"
"55"	"40"	"329"	"85"	"2"	"1"	"29"	"1"	"0"	"1"	"0"	"1"	"1"	"4"	"454"	"0"	"454"	"0"
"56"	"41"	"121"	"48"	"2"	"8"	"174"	"2"	"3"	"2"	"3"	"0"	"5"	"5"	"373"	"0"	"373"	"0"
"57"	"41A"	"176"	"93"	"4"	"5"	"129"	"1"	"1"	"3"	"1"	"5"	"8"	"9"	"435"	"0"	"435"	"0"
"58"	"42"	"389"	"85"	"4"	"15"	"236"	"11"	"13"	"6"	"4"	"0"	"12"	"9"	"784"	"0"	"784"	"0"
"59"	"43"	"403"	"19"	"7"	"14"	"148"	"1"	"11"	"14"	"7"	"5"	"5"	"14"	"648"	"0"	"648"	"0"
"60"	"44"	"485"	"69"	"2"	"3"	"6"	"4"	"3"	"11"	"2"	"5"	"7"	"21"	"618"	"0"	"618"	"0"
"61"	"45"	"141"	"558"	"6"	"5"	"59"	"4"	"5"	"5"	"6"	"8"	"30"	"29"	"856"	"0"	"856"	"0"
"62"	"46"	"34"	"181"	"6"	"7"	"113"	"1"	"6"	"8"	"7"	"3"	"8"	"12"	"386"	"0"	"386"	"0"
"63"	"47"	"106"	"192"	"14"	"5"	"135"	"3"	"11"	"4"	"1"	"1"	"6"	"26"	"504"	"0"	"504"	"0"
"64"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"65"	""	"Parveen Amanullah a"	"Rakesh Singh"	"Ram Prawesh Kumar"	"Vidyanand Yadav"	"Shree Narayan Yadav"	"Md. Anwar Khan"	"Devendra Prasad"	"Es.Em.Nur Alam"	"Mahendra Rajak"	"Shamshad Alam"	"Munilal Singh"	"Md. Samim Akhtar"	""	""	""	""
"66"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"67"	"48"	"87"	"213"	"10"	"11"	"284"	"3"	"26"	"19"	"17"	"8"	"24"	"51"	"753"	"0"	"753"	"0"
"68"	"49"	"213"	"59"	"5"	"16"	"288"	"3"	"13"	"16"	"7"	"7"	"18"	"55"	"700"	"0"	"700"	"0"
"69"	"50"	"177"	"245"	"10"	"20"	"158"	"4"	"5"	"2"	"6"	"3"	"5"	"8"	"643"	"0"	"643"	"0"
"70"	"51"	"246"	"73"	"9"	"29"	"49"	"1"	"1"	"7"	"9"	"3"	"4"	"12"	"443"	"0"	"443"	"0"
"71"	"52"	"308"	"77"	"4"	"8"	"26"	"4"	"3"	"2"	"2"	"2"	"3"	"8"	"447"	"0"	"447"	"0"
"72"	"52A"	"191"	"64"	"7"	"34"	"85"	"5"	"5"	"7"	"9"	"6"	"5"	"17"	"435"	"0"	"435"	"0"
"73"	"53"	"275"	"48"	"4"	"39"	"398"	"9"	"12"	"21"	"8"	"6"	"10"	"30"	"860"	"0"	"860"	"0"
"74"	"54"	"310"	"87"	"4"	"152"	"53"	"5"	"7"	"15"	"4"	"8"	"6"	"11"	"662"	"0"	"662"	"0"
"75"	"55"	"560"	"122"	"4"	"70"	"41"	"0"	"4"	"7"	"8"	"8"	"4"	"26"	"854"	"0"	"854"	"0"
"76"	"56"	"358"	"85"	"7"	"201"	"114"	"9"	"12"	"30"	"12"	"11"	"10"	"44"	"893"	"0"	"893"	"0"
"77"	"57"	"235"	"177"	"19"	"44"	"143"	"3"	"12"	"53"	"6"	"6"	"14"	"28"	"740"	"0"	"740"	"0"
"78"	"58"	"146"	"204"	"11"	"42"	"118"	"2"	"4"	"27"	"3"	"3"	"6"	"10"	"576"	"0"	"576"	"0"
"79"	"59"	"243"	"277"	"37"	"20"	"139"	"5"	"16"	"7"	"7"	"6"	"13"	"32"	"802"	"0"	"802"	"0"
"80"	"60"	"107"	"297"	"2"	"4"	"11"	"0"	"0"	"0"	"0"	"0"	"5"	"4"	"430"	"0"	"430"	"0"
"81"	"61"	"48"	"18"	"19"	"118"	"296"	"9"	"5"	"3"	"3"	"1"	"2"	"13"	"535"	"0"	"535"	"0"
"82"	"62"	"56"	"17"	"3"	"15"	"565"	"8"	"8"	"8"	"2"	"6"	"2"	"12"	"702"	"0"	"702"	"0"
"83"	"63"	"231"	"25"	"7"	"104"	"182"	"6"	"3"	"7"	"6"	"0"	"5"	"10"	"586"	"0"	"586"	"0"
"84"	"64"	"179"	"16"	"6"	"154"	"75"	"2"	"5"	"4"	"4"	"2"	"9"	"14"	"470"	"0"	"470"	"0"
"85"	"65"	"222"	"7"	"1"	"10"	"23"	"0"	"3"	"0"	"1"	"1"	"0"	"3"	"271"	"0"	"271"	"0"
"86"	"66"	"114"	"260"	"12"	"13"	"70"	"1"	"6"	"2"	"1"	"3"	"3"	"15"	"500"	"0"	"500"	"0"
"87"	"67"	"338"	"112"	"4"	"9"	"23"	"0"	"5"	"3"	"0"	"5"	"6"	"11"	"516"	"0"	"516"	"0"
"88"	"68"	"300"	"4"	"0"	"0"	"4"	"0"	"2"	"0"	"0"	"1"	"0"	"2"	"313"	"0"	"313"	"0"
"89"	"69"	"18"	"4"	"4"	"4"	"336"	"7"	"11"	"6"	"7"	"5"	"5"	"19"	"426"	"0"	"426"	"0"
"90"	"70"	"156"	"6"	"2"	"19"	"238"	"11"	"15"	"6"	"7"	"1"	"3"	"16"	"480"	"0"	"480"	"0"
"91"	"71"	"505"	"10"	"3"	"6"	"12"	"0"	"1"	"0"	"1"	"0"	"0"	"7"	"545"	"0"	"545"	"0"
"92"	"72"	"564"	"36"	"5"	"8"	"191"	"7"	"5"	"7"	"3"	"1"	"5"	"16"	"848"	"0"	"848"	"0"
"93"	"73"	"475"	"18"	"1"	"9"	"3"	"0"	"1"	"1"	"0"	"1"	"2"	"8"	"519"	"0"	"519"	"0"
"94"	"74"	"13"	"15"	"2"	"10"	"549"	"4"	"7"	"5"	"3"	"3"	"7"	"18"	"636"	"0"	"636"	"0"
"95"	"75"	"75"	"273"	"6"	"17"	"79"	"0"	"1"	"0"	"1"	"2"	"4"	"7"	"465"	"0"	"465"	"0"
"96"	"76"	"102"	"346"	"10"	"20"	"17"	"1"	"2"	"3"	"2"	"2"	"5"	"9"	"519"	"0"	"519"	"0"
"97"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"98"	""	"Parveen Amanullah a"	"Rakesh Singh"	"Ram Prawesh Kumar"	"Vidyanand Yadav"	"Shree Narayan Yadav"	"Md. Anwar Khan"	"Devendra Prasad"	"Es.Em.Nur Alam"	"Mahendra Rajak"	"Shamshad Alam"	"Munilal Singh"	"Md. Samim Akhtar"	""	""	""	""
"99"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"100"	"77"	"126"	"120"	"14"	"13"	"51"	"0"	"4"	"5"	"1"	"1"	"3"	"13"	"351"	"0"	"351"	"0"
"101"	"78"	"218"	"217"	"9"	"29"	"131"	"5"	"7"	"8"	"3"	"4"	"8"	"12"	"651"	"0"	"651"	"0"
"102"	"79"	"227"	"29"	"10"	"76"	"254"	"12"	"23"	"16"	"12"	"6"	"12"	"38"	"715"	"0"	"715"	"0"
"103"	"80"	"145"	"88"	"4"	"21"	"74"	"3"	"5"	"6"	"3"	"3"	"6"	"16"	"374"	"0"	"374"	"0"
"104"	"80A"	"107"	"84"	"2"	"31"	"92"	"3"	"10"	"4"	"3"	"0"	"5"	"14"	"355"	"0"	"355"	"0"
"105"	"81"	"198"	"145"	"8"	"18"	"12"	"0"	"5"	"3"	"3"	"4"	"1"	"22"	"419"	"0"	"419"	"0"
"106"	"82"	"200"	"99"	"3"	"10"	"80"	"3"	"9"	"5"	"1"	"3"	"6"	"14"	"433"	"0"	"433"	"0"
"107"	"83"	"353"	"127"	"6"	"6"	"68"	"5"	"4"	"5"	"1"	"2"	"5"	"13"	"595"	"0"	"595"	"0"
"108"	"84"	"106"	"105"	"3"	"28"	"178"	"5"	"8"	"7"	"5"	"4"	"9"	"20"	"478"	"0"	"478"	"0"
"109"	"85"	"199"	"21"	"7"	"50"	"105"	"10"	"11"	"133"	"18"	"11"	"44"	"18"	"627"	"0"	"627"	"0"
"110"	"86"	"591"	"19"	"2"	"61"	"105"	"12"	"16"	"9"	"5"	"1"	"8"	"16"	"845"	"0"	"845"	"0"
"111"	"87"	"112"	"17"	"6"	"78"	"144"	"4"	"12"	"13"	"3"	"5"	"7"	"16"	"417"	"0"	"417"	"0"
"112"	"88"	"87"	"7"	"3"	"92"	"238"	"2"	"3"	"2"	"2"	"1"	"3"	"7"	"447"	"0"	"447"	"0"
