"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 148---Alauli (SC) CONSTITUENCY"	""	""	""	""	""	""	""	""	""
"3"	"Form-20"	""	""	""	""	""	""	""	""	""
"4"	"Assembly Constituency :148---Alauli (SC)                                                                                            No of Voters :194962"	""	""	""	""	""	""	""	""	""
"5"	"Candidates Name BOOTH NO"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""
"6"	""	"DASHARATH RAM"	"PASHUPATI KUMAR PARAS"	"RAJESH KUMAR SADA"	"RAM CHANDRA SADA"	"BORHAN SADA"	"SANJAY RAM"	"HANS KUMAR"	"SHUSHILA DEVI"	"Total Valid Votes"
"7"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"8"	"1"	"17"	"568"	"26"	"44"	"7"	"10"	"52"	"22"	"746"
"9"	"2"	"19"	"400"	"13"	"237"	"10"	"7"	"23"	"23"	"732"
"10"	"3"	"17"	"512"	"5"	"10"	"0"	"1"	"19"	"5"	"569"
"11"	"4"	"14"	"355"	"6"	"11"	"3"	"1"	"15"	"6"	"411"
"12"	"5"	"6"	"431"	"16"	"42"	"6"	"4"	"18"	"12"	"535"
"13"	"6"	"9"	"132"	"11"	"99"	"8"	"1"	"11"	"16"	"287"
"14"	"7"	"28"	"83"	"29"	"219"	"10"	"4"	"10"	"14"	"397"
"15"	"7A"	"11"	"188"	"52"	"169"	"16"	"11"	"27"	"25"	"499"
"16"	"8"	"63"	"242"	"108"	"161"	"13"	"12"	"56"	"48"	"703"
"17"	"9"	"20"	"22"	"11"	"298"	"14"	"5"	"5"	"18"	"393"
"18"	"10"	"23"	"119"	"10"	"190"	"6"	"9"	"5"	"6"	"368"
"19"	"11"	"9"	"182"	"13"	"139"	"9"	"3"	"19"	"9"	"383"
"20"	"11A"	"12"	"253"	"28"	"35"	"2"	"0"	"10"	"6"	"346"
"21"	"12"	"31"	"185"	"20"	"170"	"11"	"4"	"16"	"11"	"448"
"22"	"13"	"11"	"313"	"8"	"218"	"3"	"1"	"25"	"4"	"583"
"23"	"14"	"14"	"271"	"16"	"85"	"3"	"1"	"20"	"0"	"410"
"24"	"15"	"20"	"98"	"25"	"283"	"10"	"6"	"10"	"13"	"465"
"25"	"16"	"11"	"181"	"12"	"365"	"11"	"3"	"14"	"8"	"605"
"26"	"17"	"19"	"435"	"26"	"197"	"10"	"7"	"30"	"11"	"735"
"27"	"18"	"41"	"23"	"20"	"274"	"50"	"4"	"5"	"7"	"424"
"28"	"19"	"21"	"63"	"11"	"320"	"16"	"5"	"9"	"18"	"463"
"29"	"20"	"13"	"67"	"5"	"308"	"15"	"4"	"8"	"14"	"434"
"30"	"21"	"41"	"12"	"12"	"342"	"32"	"8"	"7"	"7"	"461"
"31"	"22"	"25"	"19"	"17"	"409"	"23"	"6"	"6"	"13"	"518"
"32"	"23"	"7"	"347"	"12"	"296"	"11"	"1"	"12"	"5"	"691"
"33"	"24"	"18"	"205"	"9"	"244"	"6"	"6"	"30"	"9"	"527"
"34"	"25"	"22"	"354"	"26"	"143"	"17"	"11"	"41"	"22"	"636"
"35"	"26"	"52"	"423"	"68"	"106"	"13"	"10"	"88"	"16"	"776"
"36"	"27"	"41"	"208"	"201"	"181"	"12"	"16"	"45"	"30"	"734"
"37"	"28"	"11"	"239"	"11"	"89"	"3"	"6"	"17"	"3"	"379"
"38"	"29"	"3"	"450"	"5"	"52"	"0"	"0"	"4"	"1"	"515"
"39"	"30"	"21"	"202"	"21"	"534"	"18"	"6"	"16"	"10"	"828"
"40"	"31"	"30"	"309"	"16"	"391"	"18"	"11"	"16"	"7"	"798"
"41"	"32"	"24"	"132"	"18"	"209"	"9"	"2"	"20"	"2"	"416"
"42"	"32A"	"15"	"66"	"4"	"271"	"3"	"0"	"7"	"3"	"369"
"43"	"33"	"9"	"240"	"15"	"291"	"6"	"2"	"19"	"3"	"585"
"44"	"34"	"6"	"182"	"3"	"83"	"1"	"5"	"8"	"4"	"292"
"45"	"35"	"20"	"179"	"15"	"248"	"10"	"7"	"16"	"6"	"501"
"46"	"36"	"8"	"152"	"9"	"96"	"4"	"3"	"7"	"9"	"288"
"47"	"37"	"29"	"454"	"17"	"67"	"2"	"6"	"20"	"12"	"607"
"48"	"38"	"11"	"48"	"6"	"391"	"4"	"0"	"4"	"3"	"467"
"49"	"39"	"29"	"301"	"37"	"163"	"12"	"9"	"32"	"18"	"601"
"50"	"40"	"14"	"317"	"37"	"88"	"5"	"5"	"22"	"3"	"491"
"51"	"41"	"14"	"200"	"15"	"92"	"1"	"0"	"13"	"4"	"339"
"52"	"42"	"17"	"74"	"14"	"394"	"12"	"9"	"16"	"19"	"555"
"53"	"43"	"13"	"64"	"19"	"389"	"4"	"2"	"9"	"4"	"504"
"54"	"44"	"30"	"240"	"17"	"96"	"8"	"6"	"24"	"9"	"430"
"55"	"45"	"29"	"47"	"11"	"547"	"18"	"7"	"9"	"16"	"684"
"56"	"46"	"13"	"101"	"19"	"632"	"17"	"8"	"15"	"16"	"821"
"57"	"47"	"32"	"245"	"22"	"556"	"13"	"7"	"20"	"11"	"906"
"58"	"48"	"14"	"88"	"11"	"410"	"13"	"5"	"12"	"8"	"561"
"59"	"49"	"15"	"51"	"8"	"761"	"16"	"7"	"14"	"9"	"881"
"60"	"50"	"13"	"193"	"9"	"290"	"20"	"5"	"17"	"12"	"559"
"61"	"51"	"12"	"68"	"11"	"344"	"11"	"3"	"2"	"4"	"455"
"62"	"52"	"36"	"254"	"28"	"318"	"18"	"17"	"29"	"25"	"725"
"63"	"53"	"41"	"349"	"30"	"330"	"11"	"13"	"42"	"16"	"832"
"64"	"54"	"30"	"84"	"12"	"372"	"7"	"1"	"7"	"7"	"520"
"65"	"55"	"35"	"398"	"25"	"151"	"11"	"10"	"43"	"19"	"692"
"66"	"56"	"7"	"85"	"12"	"355"	"15"	"8"	"15"	"8"	"505"
"67"	"57"	"16"	"100"	"12"	"418"	"34"	"4"	"26"	"25"	"635"
"68"	"58"	"16"	"216"	"10"	"221"	"8"	"4"	"24"	"10"	"509"
"69"	"59"	"21"	"406"	"16"	"261"	"14"	"6"	"26"	"12"	"762"
"70"	"60"	"15"	"272"	"20"	"405"	"14"	"9"	"29"	"26"	"790"
"71"	"61"	"14"	"87"	"17"	"205"	"10"	"3"	"17"	"12"	"365"
"72"	"62"	"14"	"167"	"17"	"196"	"14"	"4"	"17"	"16"	"445"
"73"	"63"	"26"	"226"	"17"	"306"	"15"	"16"	"37"	"13"	"656"
"74"	"64"	"19"	"118"	"10"	"107"	"2"	"2"	"7"	"6"	"271"
"75"	"65"	"16"	"32"	"3"	"403"	"12"	"5"	"4"	"6"	"481"
"76"	"66"	"7"	"85"	"8"	"293"	"7"	"0"	"6"	"4"	"410"
"77"	"67"	"11"	"114"	"27"	"540"	"14"	"4"	"19"	"6"	"735"
"78"	"68"	"8"	"139"	"5"	"224"	"0"	"2"	"11"	"6"	"395"
"79"	"69"	"13"	"117"	"20"	"291"	"9"	"4"	"13"	"8"	"475"
"80"	"70"	"10"	"330"	"5"	"31"	"5"	"0"	"16"	"4"	"401"
"81"	"71"	"11"	"115"	"12"	"281"	"14"	"2"	"8"	"16"	"459"
"82"	"72"	"22"	"301"	"27"	"392"	"29"	"11"	"39"	"34"	"855"
"83"	"73"	"22"	"55"	"11"	"395"	"20"	"11"	"10"	"18"	"542"
"84"	"74"	"15"	"182"	"23"	"310"	"28"	"10"	"35"	"28"	"631"
"85"	"75"	"28"	"96"	"24"	"401"	"23"	"12"	"18"	"28"	"630"
"86"	"76"	"29"	"115"	"11"	"408"	"18"	"10"	"33"	"20"	"644"
"87"	"77"	"24"	"381"	"21"	"176"	"14"	"12"	"27"	"14"	"669"
"88"	"78"	"21"	"157"	"21"	"385"	"17"	"9"	"12"	"20"	"642"
"89"	"79"	"12"	"156"	"19"	"384"	"14"	"3"	"11"	"23"	"622"
"90"	"80"	"10"	"131"	"9"	"399"	"9"	"1"	"13"	"4"	"576"
"91"	"81"	"13"	"86"	"13"	"112"	"5"	"3"	"14"	"5"	"251"
"92"	"82"	"6"	"184"	"10"	"221"	"5"	"3"	"8"	"11"	"448"
"93"	"83"	"34"	"250"	"27"	"185"	"14"	"5"	"22"	"16"	"553"
