"Polling.Station.No."	"Ashok.Kumar.Yadav"	"Kumar.Shailend.ra"	"Krishan.Kumar.Mandal"	"Renu.Choudhar.y"	"Shailesh.Kumar..Bulo.Mandal."	"Balmiki.Kumar"	"Sudhir.Yadav"	"Subod.Kumar"	"Gagan.Kumar.Sengupt.a"	"Pankaj.Choudh.ary"	"Ravin.Yaday"	"Bindeshw.ari.......Pr..Singh"	"Total.....No..of......actual.Votes"	"Total.....No..of...rejected.Votes"	"Total"	"No.........of.Tendered.Votes"
"1"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"2"	"1"	35	272	17	8	223	6	2	4	5	1	13	25	611	0	611	NA
"3"	"2"	49	183	6	8	153	1	3	5	3	4	8	17	440	0	440	NA
"4"	"3"	40	257	10	7	248	3	2	1	1	0	4	11	584	0	584	NA
"5"	"4"	99	423	23	20	89	4	2	5	3	10	29	28	735	0	735	NA
"6"	"5"	32	362	12	8	126	3	2	0	0	2	10	11	568	0	568	NA
"7"	"6"	30	155	2	0	100	3	0	1	0	0	3	4	298	0	298	NA
"8"	"7"	36	255	8	3	106	2	1	4	2	5	7	15	444	0	444	NA
"9"	"8"	80	241	52	10	38	1	1	1	2	3	8	11	448	0	448	NA
"10"	"9"	32	231	6	6	117	4	3	4	2	3	13	14	435	0	435	NA
"11"	"10"	60	175	5	4	38	2	0	0	2	0	8	5	299	0	299	NA
"12"	"11"	60	170	6	5	190	6	1	2	2	2	4	9	457	0	457	NA
"13"	"12"	102	176	25	7	402	13	4	9	5	5	12	55	815	0	815	NA
"14"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"15"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"16"	"13"	44	129	2	4	229	6	2	7	1	5	6	25	460	0	460	NA
"17"	"14"	35	163	2	3	116	5	0	2	0	1	4	24	355	0	355	NA
"18"	"15"	50	300	2	3	76	3	0	1	0	5	3	15	458	0	458	NA
"19"	"16"	20	115	6	9	274	6	2	2	5	7	5	15	466	0	466	NA
"20"	"17"	21	207	5	8	75	3	0	5	0	1	5	3	333	0	333	NA
"21"	"18"	40	178	11	7	230	3	9	18	1	4	17	20	538	0	538	NA
"22"	"19"	31	671	6	6	94	1	0	2	0	3	11	8	833	0	833	NA
"23"	"20"	123	351	6	11	126	4	0	4	0	3	9	17	654	0	654	NA
"24"	"21"	37	341	3	6	74	3	0	0	0	2	3	11	480	0	480	NA
"25"	"22"	74	196	6	9	146	3	2	4	3	3	10	13	469	0	469	NA
"26"	"23"	42	250	7	8	155	4	2	4	6	4	3	11	496	0	496	NA
"27"	"24"	42	93	4	8	181	7	11	4	6	2	6	21	385	0	385	NA
"28"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"29"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"30"	"25"	28	124	4	6	135	1	3	2	1	2	4	11	321	0	321	NA
"31"	"26"	116	250	4	13	251	11	12	13	7	7	38	65	787	0	787	NA
