"SEGID"	"BOOTH_NO"	"BOOTH_EXT"	"ARUN.KUMA.SINGH"	"ASHA.DEVI"	"BHAI.BRAHMESHWER"	"RAGHWENDRA.PRATAP.SINGH"	"VIMAL.KUMAR"	"MRITUNJAY.BHARDWAJ"	"RAJIV.RANJAN"	"SHYAM.SUNDER.PANDEY"	"SUKLAL.YADAV"	"CHTRANJAN.SINGH"	"NIRMAL.SINGH"	"VIJAY.SINGH"	"VIJAY.BAHADUR.SINGH"	"DR..SIYA.MATI.RAI"	"TOTAL"
"1"	""	1	""	2	3	""	4	5	""	6	7	""	8	9	""	10	11	12
"2"	"2"	1	""	1	171	"9"	411	1	"0"	7	0	"2"	1	0	"1"	2	2	608
"3"	"2"	2	""	8	37	"9"	302	9	"2"	2	1	"1"	3	7	"2"	3	2	388
"4"	"2"	3	""	1	204	"12"	458	6	"2"	1	0	"0"	0	4	"1"	4	2	695
"5"	"2"	4	""	5	12	"5"	346	4	"4"	2	3	"1"	4	9	"3"	1	14	413
"6"	"2"	5	""	11	124	"9"	334	13	"6"	1	1	"3"	7	16	"11"	6	14	556
"7"	"2"	6	""	15	101	"9"	157	2	"7"	3	0	"3"	2	1	"6"	3	9	318
"8"	"2"	7	""	22	31	"8"	286	10	"5"	3	1	"6"	3	19	"20"	16	17	447
"9"	"2"	8	""	11	127	"9"	426	14	"7"	18	7	"6"	10	17	"18"	14	36	720
"10"	"2"	9	""	9	79	"80"	302	5	"5"	1	2	"3"	1	6	"7"	5	6	511
"11"	"2"	10	""	7	192	"10"	241	8	"9"	9	3	"8"	4	9	"7"	11	10	528
"12"	"2"	11	""	8	190	"6"	153	2	"6"	6	2	"1"	1	8	"9"	4	12	408
"13"	"2"	12	""	3	116	"74"	128	4	"6"	2	2	"0"	1	3	"6"	3	8	356
"14"	"2"	13	""	10	27	"9"	282	6	"1"	2	0	"1"	0	3	"1"	0	0	342
"15"	"2"	14	""	11	177	"7"	212	6	"13"	5	2	"1"	0	3	"6"	1	9	453
"16"	"2"	15	""	5	174	"11"	124	0	"7"	0	1	"1"	1	1	"2"	2	3	332
"17"	"2"	16	""	1	59	"49"	103	1	"1"	0	1	"2"	2	1	"2"	7	2	231
"18"	"2"	17	""	14	186	"21"	155	5	"7"	4	0	"0"	1	0	"1"	9	3	406
"19"	"2"	18	""	3	189	"9"	146	1	"2"	0	1	"0"	0	1	"2"	6	6	366
"20"	"2"	19	""	0	95	"86"	89	1	"3"	1	0	"0"	0	0	"1"	0	1	277
"21"	"2"	20	""	0	248	"6"	20	0	"2"	3	4	"0"	1	0	"0"	1	0	285
"22"	"2"	21	""	4	372	"23"	149	7	"8"	7	0	"2"	7	9	"10"	16	22	636
"23"	"2"	22	""	5	197	"11"	303	3	"1"	7	0	"1"	1	6	"6"	4	16	561
"24"	"2"	23	""	10	342	"30"	102	4	"12"	7	1	"2"	0	4	"1"	8	18	541
"25"	"2"	24	""	4	191	"15"	258	0	"3"	3	2	"0"	3	4	"8"	5	7	503
"26"	"2"	25	""	1	88	"1"	293	6	"3"	2	0	"2"	0	1	"3"	3	4	407
"27"	"2"	26	""	11	193	"11"	375	2	"6"	3	1	"3"	0	4	"4"	4	5	622
"28"	"2"	27	""	2	104	"12"	115	8	"2"	6	1	"2"	5	3	"3"	5	3	271
"29"	"2"	27	"A"	4	141	"10"	139	6	"1"	2	1	"0"	3	0	"1"	2	2	312
"30"	"2"	28	""	12	316	"19"	163	5	"15"	10	3	"5"	1	5	"7"	8	10	579
"31"	"2"	29	""	16	134	"24"	204	5	"4"	2	0	"1"	0	6	"0"	6	8	410
"32"	"2"	29	"A"	12	168	"28"	36	1	"3"	3	0	"0"	1	1	"0"	5	7	265
"33"	"SEGID"	NA	"BOOTH_EXT"	NA	NA	"BHAI BRAHMESHWER"	NA	NA	"MRITUNJAY BHARDWAJ"	NA	NA	"SUKLAL YADAV"	NA	NA	"VIJAY SINGH"	NA	NA	NA
"34"	""	1	""	2	3	""	4	5	""	6	7	""	8	9	""	10	11	12
"35"	"2"	30	""	15	91	"29"	287	8	"6"	11	3	"2"	1	10	"8"	9	18	498
"36"	"2"	31	""	9	54	"14"	120	3	"1"	4	12	"1"	1	2	"5"	2	8	236
"37"	"2"	32	""	2	101	"8"	119	1	"1"	0	2	"0"	0	0	"2"	2	3	241
"38"	"2"	33	""	9	139	"12"	156	3	"2"	6	0	"1"	4	3	"3"	1	1	340
"39"	"2"	34	""	4	58	"449"	52	1	"0"	1	0	"0"	0	0	"2"	0	3	570
"40"	"2"	35	""	13	95	"327"	32	1	"6"	2	2	"0"	2	3	"5"	3	0	491
"41"	"2"	36	""	4	65	"137"	52	0	"0"	1	0	"0"	0	1	"2"	1	3	266
"42"	"2"	37	""	1	99	"164"	107	1	"1"	0	0	"1"	2	1	"2"	1	3	383
"43"	"2"	38	""	7	288	"33"	198	7	"7"	2	0	"0"	1	11	"6"	16	12	588
"44"	"2"	39	""	6	206	"18"	256	1	"3"	8	1	"1"	2	5	"7"	8	6	528
"45"	"2"	40	""	6	79	"4"	139	3	"1"	2	0	"0"	1	0	"3"	0	0	238
"46"	"2"	41	""	5	153	"8"	228	5	"3"	2	1	"2"	1	8	"8"	4	7	435
"47"	"2"	42	""	1	303	"21"	149	6	"5"	2	0	"1"	2	2	"3"	6	5	506
"48"	"2"	43	""	14	420	"23"	229	6	"12"	3	1	"1"	2	13	"13"	14	13	764
"49"	"2"	44	""	10	314	"7"	216	5	"7"	8	2	"2"	3	18	"9"	16	16	633
"50"	"2"	45	""	8	258	"9"	212	5	"6"	7	1	"3"	3	18	"9"	11	12	562
"51"	"2"	46	""	4	231	"49"	115	1	"6"	3	0	"1"	2	5	"6"	4	3	430
"52"	"2"	47	""	6	202	"48"	158	3	"6"	4	0	"2"	3	9	"10"	10	7	468
"53"	"2"	48	""	4	170	"49"	181	4	"10"	4	0	"2"	0	1	"7"	1	3	436
"54"	"2"	49	""	13	109	"12"	414	6	"4"	11	1	"2"	3	21	"16"	11	15	638
"55"	"2"	50	""	23	166	"5"	317	3	"5"	28	3	"4"	1	11	"12"	9	32	619
"56"	"2"	51	""	10	234	"84"	144	9	"12"	15	0	"2"	2	5	"2"	6	9	534
"57"	"2"	52	""	8	197	"69"	110	10	"0"	2	0	"1"	2	1	"2"	1	6	409
"58"	"2"	53	""	4	141	"22"	88	0	"4"	2	0	"1"	1	4	"2"	4	11	284
"59"	"2"	54	""	8	60	"32"	308	7	"5"	2	1	"3"	1	10	"10"	1	5	453
"60"	"2"	55	""	7	138	"24"	325	7	"2"	2	0	"2"	0	9	"4"	8	8	536
"61"	"2"	56	""	4	157	"15"	54	2	"14"	4	1	"1"	2	2	"5"	6	3	270
"62"	"2"	57	""	4	101	"66"	83	2	"1"	2	1	"0"	0	0	"0"	1	0	261
"63"	"2"	58	""	1	188	"9"	169	2	"3"	7	2	"2"	0	3	"0"	1	6	393
"64"	"2"	59	""	7	217	"13"	165	3	"4"	13	0	"2"	1	4	"4"	6	4	443
"65"	"2"	60	""	8	205	"16"	144	11	"6"	8	0	"0"	1	3	"2"	1	17	422
"66"	"SEGID"	NA	"BOOTH_EXT"	NA	NA	"BHAI BRAHMESHWER"	NA	NA	"MRITUNJAY BHARDWAJ"	NA	NA	"SUKLAL YADAV"	NA	NA	"VIJAY SINGH"	NA	NA	NA
"67"	""	1	""	2	3	""	4	5	""	6	7	""	8	9	""	10	11	12
"68"	"2"	61	""	4	215	"39"	114	3	"6"	9	0	"0"	1	0	"2"	2	4	399
"69"	"2"	62	""	6	150	"20"	241	6	"10"	13	2	"1"	6	6	"5"	7	10	483
"70"	"2"	63	""	17	234	"10"	397	9	"6"	5	1	"6"	2	8	"13"	20	36	764
"71"	"2"	64	""	14	451	"18"	207	4	"7"	9	3	"0"	4	5	"3"	10	10	745
"72"	"2"	65	""	6	296	"29"	191	0	"6"	10	3	"1"	0	2	"2"	3	2	551
"73"	"2"	66	""	3	135	"13"	84	4	"2"	12	0	"0"	0	1	"1"	2	3	260
"74"	"2"	67	""	2	146	"15"	73	3	"2"	7	0	"1"	0	3	"2"	7	7	268
"75"	"2"	68	""	5	155	"26"	354	5	"7"	25	0	"0"	1	5	"5"	4	6	598
"76"	"2"	69	""	3	193	"19"	275	21	"7"	14	0	"1"	0	0	"2"	3	1	539
