"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM THE 235---Rajuli(SC) CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Assembly Constituency :235---Rajuli(SC)                                                                                              No of Voters :235696"	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Candidates Name ----- > BOOTH NO"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total"
"6"	""	"Kanhaiya Kumar"	"Prakash Bir"	"Premcha nd Ram"	"Basanti Devi"	"Bhola Ram"	"Sanjay Ku. Paswan"	"Rabindra Paswan"	"Raja Ram Paswan"	"Ram Krishna Paswan"	"Ramawta r Paswan"	"Sudama Devi"	"Banwari Ram"	""
"7"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"33"
"8"	"1"	"36"	"204"	"10"	"84"	"6"	"0"	"0"	"0"	"0"	"3"	"1"	"4"	"348"
"9"	"2"	"70"	"49"	"7"	"125"	"4"	"4"	"5"	"5"	"15"	"14"	"7"	"27"	"332"
"10"	"3"	"230"	"74"	"8"	"90"	"12"	"3"	"5"	"2"	"4"	"11"	"5"	"69"	"513"
"11"	"4"	"170"	"138"	"10"	"113"	"17"	"4"	"8"	"6"	"8"	"6"	"7"	"19"	"506"
"12"	"5"	"27"	"75"	"6"	"158"	"10"	"4"	"3"	"7"	"6"	"19"	"7"	"44"	"366"
"13"	"6"	"133"	"83"	"6"	"59"	"3"	"4"	"2"	"3"	"2"	"6"	"1"	"4"	"306"
"14"	"7"	"105"	"199"	"22"	"61"	"4"	"4"	"7"	"0"	"1"	"7"	"4"	"2"	"416"
"15"	"8"	"85"	"184"	"11"	"33"	"25"	"0"	"2"	"1"	"1"	"7"	"10"	"7"	"366"
"16"	"9"	"173"	"84"	"12"	"154"	"7"	"1"	"2"	"2"	"1"	"8"	"4"	"15"	"463"
"17"	"10"	"414"	"74"	"5"	"15"	"2"	"3"	"6"	"6"	"6"	"21"	"12"	"45"	"609"
"18"	"11"	"243"	"65"	"11"	"76"	"4"	"0"	"6"	"1"	"2"	"3"	"3"	"32"	"446"
"19"	"12"	"216"	"113"	"1"	"4"	"3"	"18"	"1"	"0"	"3"	"2"	"3"	"22"	"386"
"20"	"12A"	"102"	"81"	"3"	"3"	"1"	"19"	"0"	"0"	"0"	"1"	"2"	"6"	"218"
"21"	"13"	"202"	"102"	"7"	"12"	"1"	"0"	"2"	"4"	"1"	"1"	"3"	"0"	"335"
"22"	"14"	"277"	"251"	"10"	"9"	"3"	"1"	"1"	"2"	"0"	"12"	"7"	"20"	"593"
"23"	"15"	"150"	"68"	"2"	"28"	"0"	"1"	"1"	"0"	"0"	"2"	"3"	"7"	"262"
"24"	"16"	"127"	"270"	"14"	"12"	"4"	"1"	"0"	"2"	"0"	"3"	"9"	"18"	"460"
"25"	"17"	"281"	"38"	"4"	"22"	"2"	"1"	"3"	"1"	"1"	"8"	"5"	"70"	"436"
"26"	"18"	"180"	"141"	"7"	"17"	"3"	"0"	"1"	"1"	"0"	"0"	"2"	"8"	"360"
"27"	"Page 1 of 13"	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"Assembly Constituency :235---Rajuli(SC)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"No of Voters :235696"	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"Candidates Name ----- >"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"32"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"33"
"34"	"19"	"141"	"96"	"3"	"12"	"4"	"0"	"2"	"3"	"0"	"3"	"10"	"23"	"297"
"35"	"20"	"266"	"167"	"10"	"14"	"1"	"20"	"2"	"2"	"3"	"6"	"7"	"59"	"557"
"36"	"21"	"283"	"181"	"12"	"6"	"1"	"3"	"4"	"6"	"5"	"6"	"13"	"60"	"580"
"37"	"22"	"48"	"62"	"2"	"8"	"3"	"0"	"0"	"0"	"0"	"2"	"2"	"299"	"426"
"38"	"23"	"52"	"303"	"12"	"4"	"2"	"0"	"0"	"0"	"2"	"1"	"1"	"52"	"429"
"39"	"24"	"316"	"14"	"4"	"48"	"3"	"2"	"2"	"1"	"1"	"6"	"2"	"31"	"430"
"40"	"25"	"25"	"136"	"7"	"23"	"2"	"0"	"2"	"1"	"2"	"2"	"2"	"3"	"205"
"41"	"26"	"143"	"71"	"4"	"145"	"3"	"1"	"4"	"0"	"2"	"4"	"10"	"10"	"397"
"42"	"27"	"393"	"80"	"6"	"25"	"5"	"1"	"4"	"0"	"0"	"5"	"6"	"7"	"532"
"43"	"28"	"77"	"12"	"2"	"39"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"133"
"44"	"29"	"85"	"109"	"4"	"53"	"28"	"2"	"1"	"2"	"4"	"12"	"4"	"14"	"318"
"45"	"30"	"110"	"12"	"0"	"58"	"3"	"0"	"3"	"2"	"3"	"6"	"4"	"19"	"220"
"46"	"31"	"177"	"3"	"1"	"49"	"1"	"0"	"2"	"2"	"1"	"4"	"1"	"15"	"256"
"47"	"32"	"66"	"4"	"1"	"16"	"1"	"1"	"0"	"0"	"1"	"2"	"3"	"10"	"105"
"48"	"33"	"146"	"117"	"8"	"6"	"2"	"0"	"0"	"0"	"0"	"3"	"7"	"19"	"308"
"49"	"34"	"197"	"59"	"4"	"21"	"13"	"3"	"9"	"3"	"7"	"10"	"34"	"17"	"377"
