"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X245026.74.245100.38.Jhanjharpur"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"2"	""	"Jagat Narayan Singh"	"Nitish Mishra"	"Pramod Kumar Paswan"	"Ram Narayan Yadav"	"Harkhu Jha"	"Buchru Paswan"	"Mahendra Yadav"	"Yognath Mandal"	"Ashok Kumar Mahto"	"Lakshmi Mukhiya"	"Hare Krishna Chaudhary"	""	""	""	""
"3"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"4"	"1"	"395"	"249"	"11"	"6"	"18"	"1"	"5"	"4"	"1"	"1"	"9"	"700"	""	"700"	""
"5"	"2"	"19"	"289"	"9"	"6"	"12"	"1"	"5"	"6"	"6"	"26"	"43"	"422"	""	"422"	""
"6"	"3"	"273"	"246"	"13"	"11"	"23"	"7"	"6"	"8"	"6"	"9"	"29"	"631"	""	"631"	""
"7"	"4"	"185"	"297"	"10"	"9"	"20"	"4"	"4"	"2"	"8"	"14"	"29"	"582"	""	"582"	""
"8"	"5"	"297"	"195"	"6"	"10"	"10"	"4"	"2"	"3"	"11"	"20"	"18"	"576"	""	"576"	""
"9"	"6"	"90"	"267"	"6"	"10"	"10"	"3"	"6"	"3"	"1"	"3"	"5"	"404"	""	"404"	""
"10"	"7"	"227"	"255"	"6"	"12"	"9"	"6"	"1"	"2"	"5"	"3"	"26"	"552"	""	"552"	""
"11"	"8"	"68"	"339"	"5"	"4"	"4"	"3"	"3"	"7"	"2"	"4"	"19"	"458"	""	"458"	""
"12"	"9"	"307"	"69"	"1"	"66"	"19"	"5"	"4"	"4"	"1"	"7"	"8"	"491"	""	"491"	""
"13"	"10"	"189"	"405"	"22"	"9"	"26"	"2"	"4"	"9"	"12"	"16"	"21"	"715"	""	"715"	""
