"Candidates.Name"	"ABDUL.JALIL.MASTAN"	"DEV.NARAYAN.YADAV"	"BABAR.AZAM"	"SABA.ZAFAR"	"ASLAM"	"TUKSI.DEVI"	"MD..SAGIR"	"NIL.MANI.SINGH"	"Total.Valid.Votes"
"1"	"BOOTH NO"	""	""	""	""	""	""	""	""	""
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"3"	"1"	"29"	"3"	"11"	"439"	"28"	"13"	"6"	"14"	"543"
"4"	"2"	"43"	"6"	"14"	"377"	"21"	"13"	"9"	"40"	"523"
"5"	"3"	"30"	"8"	"3"	"319"	"11"	"9"	"5"	"145"	"530"
"6"	"4"	"17"	"3"	"1"	"179"	"2"	"1"	"4"	"4"	"211"
"7"	"5"	"98"	"5"	"57"	"301"	"16"	"2"	"9"	"15"	"503"
"8"	"6"	"53"	"16"	"99"	"201"	"8"	"8"	"3"	"7"	"395"
"9"	"7"	"96"	"5"	"16"	"454"	"17"	"5"	"5"	"48"	"646"
"10"	"8"	"104"	"11"	"18"	"568"	"24"	"15"	"8"	"78"	"826"
"11"	"9"	"93"	"14"	"41"	"515"	"25"	"4"	"3"	"33"	"728"
"12"	"10"	"37"	"9"	"17"	"687"	"24"	"7"	"5"	"21"	"807"
"13"	"11"	"350"	"8"	"20"	"147"	"11"	"4"	"1"	"3"	"544"
"14"	"12"	"41"	"1"	"4"	"468"	"10"	"1"	"6"	"7"	"538"
"15"	"13"	"91"	"11"	"6"	"860"	"24"	"10"	"3"	"5"	"1010"
"16"	"14"	"332"	"13"	"47"	"206"	"5"	"6"	"2"	"6"	"617"
"17"	"15"	"382"	"9"	"24"	"115"	"4"	"3"	"1"	"7"	"545"
"18"	"16"	"70"	"10"	"5"	"701"	"27"	"6"	"7"	"27"	"853"
"19"	"17"	"303"	"3"	"23"	"79"	"1"	"0"	"0"	"4"	"413"
"20"	"18"	"117"	"4"	"8"	"138"	"4"	"1"	"0"	"1"	"273"
"21"	"19"	"49"	"13"	"69"	"594"	"18"	"8"	"10"	"39"	"800"
"22"	"20"	"101"	"11"	"5"	"350"	"13"	"3"	"3"	"11"	"497"
"23"	"Candidates Name"	"ABDUL JALIL MASTAN"	"DEV NARAYAN YADAV"	"BABAR AZAM"	"SABA ZAFAR"	"ASLAM"	"TUKSI DEVI"	"MD. SAGIR"	"NIL MANI SINGH"	"Total Valid Votes"
"24"	"BOOTH NO"	""	""	""	""	""	""	""	""	""
"25"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"26"	"21"	"83"	"9"	"5"	"469"	"19"	"11"	"11"	"20"	"627"
"27"	"22"	"21"	"3"	"3"	"190"	"3"	"1"	"0"	"9"	"230"
"28"	"23"	"59"	"13"	"21"	"633"	"48"	"8"	"5"	"15"	"802"
"29"	"24"	"70"	"5"	"7"	"643"	"21"	"11"	"8"	"82"	"847"
"30"	"25"	"55"	"6"	"11"	"497"	"17"	"6"	"7"	"14"	"613"
"31"	"26"	"37"	"7"	"11"	"457"	"25"	"10"	"4"	"29"	"580"
"32"	"27"	"10"	"2"	"10"	"371"	"14"	"5"	"5"	"2"	"419"
"33"	"28"	"39"	"12"	"13"	"557"	"18"	"10"	"10"	"19"	"678"
"34"	"29"	"22"	"5"	"8"	"590"	"31"	"6"	"0"	"11"	"673"
"35"	"30"	"29"	"12"	"3"	"413"	"13"	"4"	"9"	"7"	"490"
"36"	"31"	"13"	"1"	"2"	"145"	"6"	"1"	"1"	"6"	"175"
"37"	"32"	"26"	"3"	"3"	"446"	"6"	"5"	"2"	"3"	"494"
"38"	"33"	"10"	"5"	"9"	"569"	"17"	"5"	"2"	"12"	"629"
"39"	"34"	"13"	"10"	"4"	"478"	"20"	"2"	"1"	"2"	"530"
"40"	"35"	"32"	"6"	"5"	"433"	"16"	"7"	"1"	"15"	"515"
"41"	"36"	"6"	"2"	"4"	"552"	"17"	"2"	"2"	"2"	"587"
"42"	"37"	"25"	"3"	"12"	"513"	"24"	"7"	"3"	"12"	"599"
"43"	"38"	"11"	"1"	"12"	"861"	"19"	"2"	"4"	"4"	"914"
"44"	"39"	"52"	"10"	"11"	"624"	"42"	"23"	"9"	"9"	"780"
"45"	"40"	"52"	"6"	"16"	"392"	"20"	"7"	"12"	"37"	"542"
"46"	"Candidates Name"	"ABDUL JALIL MASTAN"	"DEV NARAYAN YADAV"	"BABAR AZAM"	"SABA ZAFAR"	"ASLAM"	"TUKSI DEVI"	"MD. SAGIR"	"NIL MANI SINGH"	"Total Valid Votes"
"47"	"BOOTH NO"	""	""	""	""	""	""	""	""	""
"48"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"49"	"41"	"6"	"4"	"8"	"392"	"25"	"0"	"8"	"6"	"449"
"50"	"42"	"28"	"8"	"12"	"632"	"35"	"4"	"6"	"10"	"735"
"51"	"43"	"455"	"17"	"58"	"145"	"10"	"4"	"3"	"14"	"706"
"52"	"44"	"127"	"6"	"48"	"528"	"17"	"7"	"7"	"23"	"763"
