"Candidates.Name"	"MD..AFAQUE.ALAM"	"PRADIP.KUMAR.DAS"	"MITHILESH.KUMAR"	"MD..SHAHNAWAJ.ALAM"	"AZIZUR.RAHMAN"	"OM.PRAKASH.BHAGAT"	"MANI.SINHA"	"MOHAMMAD.SAHABUDDIN"	"SANJAY.KUMAR"	"AKHLESH.JHA"	"X."
"1"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"3"	"1"	"129"	"261"	"15"	"5"	"3"	"4"	"42"	"3"	"5"	"13"	"480"
"4"	"2"	"145"	"416"	"9"	"3"	"5"	"6"	"12"	"2"	"8"	"18"	"624"
"5"	"3"	"47"	"216"	"17"	"11"	"6"	"8"	"8"	"3"	"17"	"46"	"379"
"6"	"4"	"179"	"392"	"19"	"11"	"4"	"9"	"7"	"4"	"14"	"50"	"689"
"7"	"5"	"105"	"425"	"9"	"0"	"2"	"9"	"5"	"1"	"3"	"12"	"571"
"8"	"5A"	"52"	"395"	"5"	"3"	"0"	"1"	"1"	"1"	"4"	"9"	"471"
"9"	"6"	"238"	"568"	"13"	"11"	"7"	"14"	"7"	"6"	"13"	"37"	"914"
"10"	"7"	"59"	"363"	"4"	"4"	"4"	"6"	"5"	"1"	"12"	"11"	"469"
"11"	"8"	"125"	"534"	"13"	"6"	"5"	"4"	"10"	"7"	"10"	"12"	"726"
"12"	"9"	"459"	"106"	"2"	"4"	"1"	"4"	"1"	"2"	"3"	"8"	"590"
"13"	"10"	"424"	"386"	"10"	"5"	"3"	"7"	"3"	"6"	"6"	"45"	"895"
"14"	"11"	"374"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"5"	"393"
"15"	"12"	"282"	"159"	"8"	"1"	"2"	"31"	"3"	"1"	"5"	"16"	"508"
"16"	"13"	"348"	"482"	"12"	"14"	"1"	"2"	"3"	"4"	"10"	"46"	"922"
"17"	"14"	"440"	"21"	"1"	"9"	"0"	"1"	"2"	"0"	"2"	"25"	"501"
"18"	"15"	"219"	"518"	"36"	"13"	"4"	"6"	"7"	"3"	"16"	"52"	"874"
"19"	"16"	"351"	"555"	"8"	"3"	"4"	"12"	"3"	"7"	"8"	"26"	"977"
"20"	"17"	"59"	"268"	"6"	"0"	"1"	"1"	"0"	"1"	"1"	"3"	"340"
"21"	"18"	"235"	"337"	"17"	"5"	"3"	"4"	"5"	"5"	"14"	"34"	"659"
"22"	"18A"	"93"	"166"	"3"	"3"	"0"	"1"	"3"	"4"	"6"	"12"	"291"
"23"	"19"	"230"	"584"	"14"	"6"	"3"	"21"	"8"	"5"	"8"	"13"	"892"
"24"	"20"	"141"	"535"	"20"	"9"	"3"	"11"	"7"	"2"	"3"	"13"	"744"
"25"	"21"	"194"	"347"	"9"	"9"	"5"	"4"	"7"	"3"	"15"	"22"	"615"
"26"	"22"	"249"	"338"	"8"	"5"	"3"	"4"	"6"	"2"	"4"	"11"	"630"
"27"	"23"	"67"	"569"	"20"	"8"	"0"	"4"	"7"	"9"	"6"	"19"	"709"
"28"	"24"	"88"	"349"	"7"	"2"	"2"	"11"	"2"	"1"	"5"	"8"	"475"
"29"	"25"	"49"	"241"	"11"	"2"	"2"	"9"	"2"	"0"	"7"	"15"	"338"
"30"	"26"	"215"	"197"	"6"	"3"	"0"	"0"	"3"	"2"	"5"	"20"	"451"
"31"	"27"	"347"	"173"	"9"	"44"	"5"	"5"	"2"	"7"	"0"	"15"	"607"
"32"	"Candidates Name"	"MD. AFAQUE ALAM"	"PRADIP KUMAR DAS"	"MITHILESH KUMAR"	"MD. SHAHNAWAJ
ALAM"	"AZIZUR RAHMAN"	"OM PRAKASH BHAGAT"	"MANI SINHA"	"MOHAMMAD SAHABUDDIN"	"SANJAY KUMAR"	"AKHLESH JHA"	""
"33"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""
"34"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"35"	"28"	"90"	"299"	"8"	"4"	"1"	"2"	"1"	"5"	"1"	"13"	"424"
"36"	"29"	"112"	"373"	"4"	"9"	"3"	"14"	"18"	"5"	"2"	"11"	"551"
"37"	"30"	"33"	"226"	"4"	"2"	"1"	"0"	"3"	"0"	"3"	"9"	"281"
"38"	"31"	"257"	"392"	"19"	"5"	"4"	"5"	"2"	"3"	"10"	"18"	"715"
"39"	"32"	"249"	"516"	"22"	"17"	"5"	"5"	"7"	"9"	"12"	"26"	"868"
"40"	"33"	"636"	"106"	"5"	"166"	"4"	"1"	"3"	"5"	"1"	"18"	"945"
"41"	"34"	"277"	"133"	"11"	"153"	"2"	"3"	"4"	"6"	"9"	"28"	"626"
"42"	"35"	"133"	"584"	"19"	"33"	"4"	"4"	"3"	"2"	"15"	"14"	"811"
"43"	"36"	"215"	"320"	"8"	"60"	"4"	"0"	"4"	"7"	"6"	"15"	"639"
"44"	"37"	"227"	"395"	"7"	"57"	"4"	"6"	"4"	"5"	"8"	"25"	"738"
"45"	"38"	"165"	"339"	"8"	"81"	"3"	"2"	"4"	"1"	"3"	"19"	"625"
"46"	"39"	"264"	"200"	"14"	"217"	"4"	"9"	"8"	"7"	"4"	"43"	"770"
"47"	"40"	"434"	"376"	"12"	"22"	"3"	"4"	"4"	"8"	"14"	"38"	"915"
"48"	"41"	"205"	"237"	"3"	"12"	"0"	"2"	"4"	"5"	"4"	"14"	"486"
"49"	"42"	"173"	"265"	"9"	"11"	"2"	"10"	"8"	"2"	"8"	"44"	"532"
"50"	"43"	"188"	"663"	"8"	"36"	"3"	"9"	"5"	"6"	"9"	"18"	"945"
"51"	"44"	"100"	"219"	"4"	"11"	"2"	"4"	"1"	"2"	"18"	"17"	"378"
"52"	"45"	"172"	"194"	"7"	"30"	"3"	"1"	"2"	"2"	"3"	"7"	"421"
"53"	"46"	"262"	"246"	"6"	"16"	"2"	"2"	"0"	"4"	"4"	"29"	"571"
"54"	"47"	"75"	"312"	"4"	"18"	"0"	"2"	"2"	"0"	"8"	"6"	"427"
"55"	"48"	"705"	"51"	"5"	"19"	"5"	"1"	"1"	"4"	"2"	"25"	"818"
"56"	"49"	"254"	"240"	"23"	"18"	"4"	"70"	"5"	"4"	"7"	"35"	"660"
"57"	"50"	"124"	"530"	"5"	"4"	"1"	"1"	"2"	"3"	"4"	"18"	"692"
"58"	"51"	"169"	"504"	"14"	"7"	"6"	"4"	"2"	"2"	"8"	"18"	"734"
"59"	"52"	"648"	"74"	"4"	"19"	"1"	"1"	"1"	"2"	"4"	"18"	"772"
"60"	"53"	"541"	"24"	"4"	"22"	"1"	"1"	"0"	"2"	"2"	"10"	"607"
"61"	"54"	"275"	"20"	"0"	"15"	"0"	"0"	"0"	"3"	"1"	"2"	"316"
"62"	"55"	"166"	"210"	"11"	"5"	"1"	"10"	"3"	"4"	"6"	"31"	"447"
"63"	"56"	"227"	"296"	"6"	"3"	"0"	"1"	"2"	"1"	"10"	"22"	"568"
"64"	"Candidates Name"	"MD. AFAQUE ALAM"	"PRADIP KUMAR DAS"	"MITHILESH KUMAR"	"MD. SHAHNAWAJ
ALAM"	"AZIZUR RAHMAN"	"OM PRAKASH BHAGAT"	"MANI SINHA"	"MOHAMMAD SAHABUDDIN"	"SANJAY KUMAR"	"AKHLESH JHA"	""
"65"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""
"66"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"67"	"57"	"247"	"106"	"2"	"2"	"0"	"0"	"3"	"0"	"2"	"18"	"380"
"68"	"58"	"261"	"460"	"17"	"3"	"4"	"2"	"1"	"2"	"1"	"9"	"760"
"69"	"59"	"671"	"234"	"7"	"16"	"0"	"0"	"2"	"2"	"1"	"11"	"944"
"70"	"60"	"114"	"181"	"5"	"6"	"1"	"2"	"0"	"2"	"3"	"7"	"321"
"71"	"61"	"110"	"237"	"59"	"3"	"2"	"3"	"1"	"0"	"9"	"19"	"443"
"72"	"62"	"229"	"510"	"19"	"11"	"9"	"5"	"4"	"4"	"11"	"26"	"828"
"73"	"63"	"34"	"270"	"11"	"3"	"2"	"2"	"0"	"1"	"6"	"12"	"341"
"74"	"64"	"220"	"497"	"12"	"3"	"2"	"4"	"10"	"9"	"28"	"37"	"822"
"75"	"65"	"305"	"319"	"49"	"7"	"3"	"1"	"1"	"3"	"11"	"22"	"721"
"76"	"66"	"251"	"472"	"8"	"6"	"5"	"4"	"7"	"4"	"14"	"66"	"837"
"77"	"67"	"87"	"555"	"17"	"39"	"4"	"7"	"17"	"6"	"9"	"20"	"761"
"78"	"68"	"512"	"490"	"13"	"7"	"4"	"5"	"2"	"4"	"8"	"39"	"1084"
"79"	"69"	"413"	"303"	"90"	"7"	"4"	"6"	"21"	"6"	"7"	"26"	"883"
"80"	"70"	"422"	"114"	"8"	"48"	"1"	"5"	"2"	"5"	"2"	"19"	"626"
