"BOOTH.NO."	"CHANDRASHEKHAR"	"DR..RAMENDRA.KUMAR.YADAV.RAVI"	"RAJENDRA.DAS"	"RAJESH.KUMAR.RAJNISH"	"NAWAL.KISHOR.SINGH"	"RAJ.KUMAR"	"SHASHI.SHEKHAR.YADAV"	"SURESH.KUMAR"	"SWATI.PRIYA"
"1"	1	334	514	7	13	15	4	11	51	19
"2"	2	66	285	2	34	6	6	3	44	9
"3"	NA	145	124	4	41	6	0	1	17	3
"4"	3	34	299	4	7	9	4	3	32	3
"5"	NA	89	185	4	34	7	3	5	51	8
"6"	4	27	274	6	110	3	4	2	31	2
"7"	NA	32	146	4	24	5	3	0	38	14
"8"	5	297	89	3	39	4	2	6	14	20
"9"	6	238	490	6	13	8	6	7	48	9
"10"	7	451	349	10	14	15	4	10	50	15
"11"	8	151	396	3	13	12	0	3	47	6
"12"	9	78	391	3	3	2	2	2	25	7
"13"	NA	99	284	0	15	13	2	5	15	1
"14"	10	141	307	2	14	6	5	2	35	9
"15"	NA	52	305	6	17	5	1	6	28	18
"16"	11	93	424	3	17	2	5	1	32	3
"17"	12	229	210	11	6	6	1	6	10	6
"18"	13	308	239	2	92	8	5	1	52	6
"19"	14	401	179	4	10	18	2	2	22	8
"20"	15	265	189	2	3	2	1	4	4	0
"21"	16	100	532	6	5	10	6	8	65	4
"22"	17	235	423	7	30	9	2	7	28	10
"23"	18	288	306	4	9	11	4	3	41	31
"24"	19	325	288	6	3	3	2	4	32	9
"25"	20	60	450	4	5	8	11	9	33	3
"26"	21	104	422	5	5	19	9	16	45	20
"27"	22	720	47	3	10	3	7	3	9	9
"28"	23	429	255	10	19	18	7	13	69	33
"29"	24	400	29	0	6	0	1	1	7	21
"30"	NA	321	60	4	24	1	1	7	13	19
"31"	25	498	91	8	16	7	1	2	19	8
"32"	26	161	124	5	6	2	1	0	21	3
"33"	27	311	137	4	28	10	3	3	14	11
"34"	NA	196	129	6	2	1	0	3	22	3
"35"	28	117	476	7	14	9	3	6	36	17
"36"	29	552	174	6	21	5	1	4	17	6
"37"	30	232	223	3	5	5	3	6	36	9
"38"	31	346	362	5	12	10	3	7	51	9
"39"	32	237	322	6	10	8	4	8	24	8
"40"	33	260	406	8	25	12	5	13	52	15
"41"	34	329	284	8	10	13	2	3	39	22
"42"	35	299	400	3	13	13	0	6	33	26
"43"	36	441	169	9	7	16	3	9	33	22
"44"	37	331	319	12	23	10	4	11	43	22
"45"	38	318	90	10	9	8	3	4	40	32
"46"	39	570	47	5	4	4	1	3	8	9
"47"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"48"	40	385	220	6	7	17	2	5	37	18
"49"	41	613	77	6	7	8	7	4	12	4
"50"	42	121	335	4	8	5	5	12	33	15
"51"	NA	220	117	4	8	1	0	5	17	13
"52"	43	239	236	8	1	6	9	6	47	12
"53"	44	279	274	5	8	2	4	7	21	7
"54"	45	267	232	1	4	9	3	7	28	7
"55"	46	69	327	2	1	5	1	3	38	7
"56"	47	313	260	5	6	19	2	8	40	7
"57"	48	472	191	6	14	16	4	4	18	2
"58"	49	439	86	5	5	4	2	13	11	32
"59"	50	403	341	5	27	10	2	7	38	6
"60"	51	629	70	8	11	18	4	0	30	12
"61"	52	290	309	14	19	6	5	8	90	15
"62"	53	694	90	5	5	7	5	8	18	14
"63"	54	483	246	15	19	11	7	8	48	17
"64"	55	270	236	12	8	8	3	11	47	8
"65"	NA	109	164	5	9	10	4	7	42	25
"66"	56	202	162	5	9	7	3	8	59	20
"67"	57	370	274	6	4	4	2	3	59	12
"68"	58	331	135	6	2	5	1	4	30	12
"69"	59	351	187	4	3	7	2	8	35	10
"70"	60	442	115	7	8	10	0	2	19	19
"71"	61	576	116	7	7	9	2	8	32	16
"72"	62	462	55	8	2	5	2	7	18	19
"73"	63	294	164	3	8	8	3	4	47	13
"74"	64	42	718	14	18	7	1	7	39	21
"75"	65	222	524	8	12	12	2	7	42	15
"76"	66	117	487	3	6	12	3	5	29	5
"77"	67	547	255	8	9	14	3	4	20	5
"78"	68	355	305	6	26	7	4	11	46	22
"79"	69	623	102	4	18	4	4	10	30	50
"80"	70	424	102	2	3	4	1	5	8	6
"81"	71	154	218	2	14	10	0	5	46	5
"82"	72	127	256	5	39	5	2	2	21	3
"83"	NA	39	39	1	1	2	0	0	13	0
"84"	73	343	303	8	6	6	9	5	39	17
"85"	74	490	263	5	8	7	2	4	22	24
"86"	75	123	236	2	6	4	1	5	42	7
"87"	76	302	105	2	26	2	1	1	7	0
"88"	77	192	585	10	3	5	1	4	54	12
"89"	78	152	398	9	14	13	2	16	89	41
"90"	79	144	610	13	8	10	7	11	81	30
"91"	80	207	257	4	6	7	3	2	39	14
"92"	81	497	38	3	14	2	0	1	1	4
"93"	82	237	253	4	11	4	1	7	18	4
"94"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"95"	83	413	110	4	7	8	3	3	21	13
