"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"1"	"[See rule  56(7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling sations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used for Parliamentary and Assembly elections)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of the Assembly Segment ( in the case of election for a Parliamentary constituency )…84 - Hayaghat Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Total No. of electors in Assembly constituency / Segment … 183861"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"9"	""	""	"Amar Nath Gami"	"Arvind Kumar Choudh ari"	"Krishna Kant
Mishra"	"Dr.Shahna waz Ahmad Kaifee"	""	"Md. Ali Abbas"	"Satya Narayan Mukhiya"	"Ashok Kumar Singh"	"Ahmad Ali"	"Umadhar Prasad Singh"	"Rani Devi"	"Ram Chandra Prasad"	"Bijay Shankar
Choudhary"	"Shahid Ekval"	""	"Sanjay Kumar Singh"	""	""	""	""
"10"	"1"	"2"	"3"	"4"	"5"	"6"	""	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	"16"	"17"	"18"	"19"	"20"
"11"	"1"	"1"	"38"	"18"	"4"	"202"	""	"20"	"1"	"14"	"4"	"1"	"2"	"6"	"3"	"14"	""	"5"	"332"	"-"	"332"	""
"12"	"2"	"2"	"14"	"31"	"8"	"323"	""	"10"	"3"	"20"	"7"	"1"	"3"	"17"	"5"	"8"	""	"6"	"456"	"-"	"456"	""
"13"	"3"	"3"	"36"	"26"	"9"	"262"	""	"6"	"2"	"14"	"14"	"36"	"7"	"18"	"5"	"4"	""	"7"	"446"	"-"	"446"	""
"14"	"4"	"4"	"35"	"34"	"10"	"289"	""	"8"	"3"	"18"	"13"	"7"	"8"	"8"	"11"	"10"	""	"10"	"464"	"-"	"464"	""
"15"	"5"	"5"	"12"	"21"	"4"	"331"	""	"9"	"2"	"20"	"8"	"6"	"15"	"13"	"7"	"50"	""	"14"	"512"	"-"	"512"	""
"16"	"6"	"6"	"18"	"14"	"5"	"296"	""	"4"	"1"	"6"	"4"	"6"	"7"	"10"	"3"	"3"	""	"2"	"379"	"-"	"379"	""
"17"	"7"	"7"	"14"	"13"	"3"	"225"	""	"2"	"0"	"9"	"0"	"5"	"3"	"2"	"3"	"9"	""	"3"	"291"	"-"	"291"	""
"18"	"8"	"8"	"85"	"14"	"3"	"148"	""	"6"	"2"	"8"	"4"	"7"	"2"	"5"	"5"	"2"	""	"4"	"295"	"-"	"295"	""
"19"	"9"	"9"	"216"	"4"	"0"	"35"	""	"1"	"8"	"48"	"10"	"115"	"8"	"19"	"4"	"14"	""	"26"	"508"	"-"	"508"	""
"20"	"10"	"10"	"226"	"13"	"5"	"194"	""	"7"	"11"	"114"	"23"	"17"	"19"	"41"	"6"	"12"	""	"33"	"721"	"-"	"721"	""
"21"	"11"	"11"	"142"	"10"	"9"	"213"	""	"11"	"7"	"71"	"13"	"14"	"27"	"34"	"15"	"18"	""	"38"	"622"	"-"	"622"	""
"22"	"12"	"12"	"239"	"16"	"10"	"139"	""	"3"	"4"	"46"	"1"	"5"	"4"	"2"	"1"	"7"	""	"15"	"492"	"-"	"492"	""
"23"	"13"	"13"	"252"	"14"	"5"	"64"	""	"3"	"5"	"235"	"10"	"9"	"6"	"8"	"2"	"10"	""	"10"	"633"	"-"	"633"	""
"24"	"14"	"14"	"105"	"7"	"8"	"7"	""	"1"	"4"	"357"	"12"	"7"	"2"	"11"	"1"	"11"	""	"7"	"540"	"-"	"540"	""
"25"	"15"	"15"	"44"	"8"	"1"	"40"	""	"4"	"11"	"390"	"13"	"11"	"1"	"2"	"1"	"2"	""	"0"	"528"	"-"	"528"	""
"26"	"16"	"16"	"136"	"26"	"1"	"84"	""	"6"	"12"	"135"	"18"	"51"	"9"	"12"	"6"	"15"	""	"26"	"537"	"-"	"537"	""
"27"	"17"	"17"	"213"	"83"	"11"	"73"	""	"9"	"8"	"36"	"11"	"7"	"8"	"18"	"8"	"16"	""	"27"	"528"	"-"	"528"	""
"28"	"18"	"18"	"257"	"193"	"14"	"88"	""	"2"	"8"	"40"	"12"	"7"	"8"	"19"	"10"	"16"	""	"38"	"712"	"-"	"712"	""
"29"	"19"	"19"	"103"	"8"	"8"	"218"	""	"12"	"10"	"24"	"18"	"78"	"23"	"45"	"24"	"16"	""	"40"	"627"	"-"	"627"	""
