"er.nku.dsUnz.l.a....k"	"csCkh.dqekj.h"	"eql.kfQj..i.kl.oku"	"j.ebZ.j.ke"	"f..koukFk.i.kl.oku"	"l.gnso.j.ke"	"egsUnz.i.kl.oku"	"j.fo...kadj.i.kl.oku"	"j.ke.dqekj..j.t.d"	"j.ke.uanu.i.kl.oku"	"j.s..kk.dqekj.h"	"foUns..oj..i.kl.oku"	"X..k.q.ku.i.kl.oku"	"X..kadj..ek.h"	"f..koukFk.pkS.kj.h"	"dqy..fof.kekU..er"	"i.zfr..ksfi.r..er.ksa.dh.l.a....k"	"fufonr..er.ksa.dh.l.a....k"
"1"	1	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
"2"	1	37	354	228	3	0	2	4	2	0	1	2	4	20	11	668	NA	NA
"3"	2	24	198	292	3	3	4	4	2	5	1	2	2	11	60	611	NA	NA
"4"	3	37	186	305	3	3	3	3	2	1	1	1	0	6	7	558	NA	NA
"5"	4	12	51	299	9	0	1	3	8	4	2	4	2	8	40	443	NA	NA
"6"	5	24	19	474	1	1	1	1	6	3	1	4	8	5	10	558	NA	NA
"7"	6	28	42	207	6	3	1	2	2	6	0	1	6	3	7	314	NA	NA
"8"	7	19	112	383	8	2	6	8	5	13	3	9	7	15	18	608	NA	NA
"9"	8	13	176	483	8	1	4	14	8	11	4	4	3	42	16	787	NA	NA
"10"	9	25	176	203	5	3	8	8	19	47	9	10	12	193	62	780	NA	NA
"11"	10	22	124	614	9	5	13	8	7	10	2	2	0	10	15	841	NA	NA
"12"	11	29	222	537	4	2	7	9	8	10	7	5	13	23	28	904	NA	NA
"13"	12	42	210	455	5	2	6	4	10	3	4	10	14	26	29	820	NA	NA
"14"	13	14	105	466	5	3	3	2	4	1	2	5	5	11	16	642	NA	NA
"15"	14	14	118	509	5	3	4	2	9	7	6	7	10	14	18	726	NA	NA
"16"	15	31	244	249	3	2	3	7	2	14	1	4	6	19	3	588	NA	NA
"17"	16	10	92	291	2	0	1	4	1	14	2	1	3	6	5	432	NA	NA
"18"	17	42	85	326	3	0	2	2	2	6	1	4	5	9	5	492	NA	NA
"19"	18	11	15	192	2	0	0	2	2	2	1	3	0	1	12	243	NA	NA
"20"	19	38	77	291	3	3	3	5	6	7	2	3	6	14	22	480	NA	NA
"21"	20	17	133	341	2	4	5	3	2	3	1	2	6	12	25	556	NA	NA
"22"	21	35	72	274	2	1	0	0	2	3	2	0	0	4	5	400	NA	NA
"23"	22	12	16	198	0	0	1	1	1	0	0	0	0	1	4	234	NA	NA
"24"	23	5	50	214	1	0	0	2	0	0	0	0	1	2	0	275	NA	NA
"25"	24	16	158	296	1	4	4	2	2	3	1	2	1	6	6	502	NA	NA
"26"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"27"	25	17	72	270	1	0	2	2	1	1	0	6	1	4	10	387	NA	NA
"28"	26	14	60	260	1	1	0	0	0	1	0	1	0	0	3	341	NA	NA
"29"	27	13	42	189	6	0	0	4	1	2	1	2	1	3	1	265	NA	NA
"30"	28	14	228	445	6	3	4	7	5	5	3	3	5	24	21	773	NA	NA
"31"	29	13	72	169	2	0	0	0	0	0	1	1	0	3	1	262	NA	NA
"32"	NA	6	34	139	1	0	0	2	0	0	0	0	0	1	1	184	NA	NA
"33"	30	34	58	372	1	0	0	0	1	1	1	0	0	6	3	477	NA	NA
"34"	31	9	158	339	5	2	1	3	4	4	0	1	1	10	6	543	NA	NA
"35"	32	8	222	184	4	1	1	2	3	3	2	2	3	32	12	479	NA	NA
"36"	33	15	90	174	0	0	3	0	1	3	0	3	1	6	2	298	NA	NA
"37"	34	24	202	351	3	1	2	6	4	9	2	3	3	15	3	628	NA	NA
"38"	35	39	499	179	3	1	5	4	9	5	2	2	2	21	17	788	NA	NA
"39"	36	33	218	248	2	0	7	4	3	3	1	3	5	12	31	570	NA	NA
"40"	37	46	167	283	3	4	5	14	8	4	5	3	2	9	23	576	NA	NA
"41"	38	66	154	177	0	1	1	1	4	0	2	5	2	15	27	455	NA	NA
"42"	39	18	512	233	8	1	4	0	5	5	1	1	5	34	24	851	NA	NA
"43"	40	27	157	413	7	0	4	4	4	2	1	0	4	9	16	648	NA	NA
"44"	41	24	164	476	7	2	8	5	10	25	12	14	16	27	26	816	NA	NA
"45"	42	30	296	358	9	6	5	4	3	1	2	1	2	8	11	736	NA	NA
"46"	43	67	280	229	4	3	9	1	9	5	2	0	5	17	7	638	NA	NA
"47"	44	10	239	241	2	5	3	11	3	29	1	2	9	30	21	606	NA	NA
"48"	NA	5	110	277	11	0	3	5	7	36	4	8	10	16	36	528	NA	NA
"49"	45	8	202	253	4	3	9	6	12	12	6	7	10	41	22	595	NA	NA
"50"	46	13	109	265	9	1	9	6	13	25	4	2	6	16	18	496	NA	NA
"51"	47	14	253	364	9	7	9	8	11	8	4	10	11	27	18	753	NA	NA
"52"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"53"	48	18	237	265	3	3	6	6	4	10	2	4	7	20	17	602	NA	NA
